county,number_of_md,population_by_cty,"md_rate_per_100,000"
"San Miguel County, CO",20,8074,247.71
"Sedgwick County, CO",2,2336,85.62
"Summit County, CO",126,30941,407.23
"Teller County, CO",30,24926,120.36
"Washington County, CO",2,4861,41.14
"Weld County, CO",567,340036,166.75
"Yuma County, CO",10,9941,100.59
"Capitol Planning Region, CT",,,
"Greater Bridgeport Planning Region, CT",,,
"Lower Connecticut River Valley Planning Region, CT",,,
"Naugatuck Valley Planning Region, CT",,,
"Northeastern Connecticut Planning Region, CT",,,
"Northwest Hills Planning Region, CT",,,
"South Central Connecticut Planning Region, CT",,,
"Southeastern Connecticut Planning Region, CT",,,
"Western Connecticut Planning Region, CT",,,
"Kent County, DE",339,184149,184.09
"New Castle County, DE",2240,571708,391.81
"Sussex County, DE",571,247527,230.68
"District of Columbia, DC",6840,670050,1020.82
"Alachua County, FL",3280,279238,1174.63
"Baker County, FL",26,28715,90.55
"Bay County, FL",439,179168,245.02
"Bradford County, FL",15,28540,52.56
"Brevard County, FL",1737,616628,281.69
"Broward County, FL",6761,1930983,350.13
"Calhoun County, FL",7,13641,51.32
"Charlotte County, FL",467,194843,239.68
"Citrus County, FL",355,158083,224.57
"Clay County, FL",472,222361,212.27
"Collier County, FL",1773,385980,459.35
"Columbia County, FL",143,70385,203.17
"DeSoto County, FL",25,34408,72.66
"Dixie County, FL",6,17102,35.08
"Duval County, FL",4327,999935,432.73
"Escambia County, FL",1325,322390,410.99
"Flagler County, FL",234,120932,193.5
"Franklin County, FL",15,12572,119.31
"Gadsden County, FL",35,43714,80.07
"Gilchrist County, FL",9,18360,49.02
"Glades County, FL",2,12234,16.35
"Gulf County, FL",22,14363,153.17
"Hamilton County, FL",3,13993,21.44
"Hardee County, FL",8,25425,31.47
"Hendry County, FL",25,40313,62.01
"Hernando County, FL",344,200638,171.45
"Highlands County, FL",216,103296,209.11
"Hillsborough County, FL",6675,1478194,451.56
"Holmes County, FL",15,19784,75.82
"Indian River County, FL",561,163662,342.78
"Jackson County, FL",48,47694,100.64
"Jefferson County, FL",9,14555,61.83
"Lafayette County, FL",3,8382,35.79
"Lake County, FL",868,395804,219.3
"Lee County, FL",2343,787976,297.34
"Leon County, FL",1201,292817,410.15
"Levy County, FL",24,44158,54.35
"Liberty County, FL",1,7900,12.66
"Madison County, FL",10,18288,54.68
"Manatee County, FL",1191,412703,288.59
"Marion County, FL",898,385915,232.69
"Martin County, FL",566,159942,353.88
"Miami-Dade County, FL",12662,2662777,475.52
"Monroe County, FL",260,82170,316.42
"Nassau County, FL",170,94189,180.49
"Okaloosa County, FL",632,213255,296.36
"Okeechobee County, FL",56,40266,139.08
"Orange County, FL",5628,1422746,395.57
"Osceola County, FL",616,403282,152.75
"Palm Beach County, FL",6489,1497987,433.18
"Pasco County, FL",1085,584067,185.77
"Pinellas County, FL",3859,956615,403.4
"Polk County, FL",1220,753520,161.91
"Putnam County, FL",82,74167,110.56
"Santa Rosa County, FL",259,193998,133.51
"Sarasota County, FL",2185,447057,488.75
"Seminole County, FL",1256,470093,267.18
"St. Johns County, FL",1212,292466,414.41
"St. Lucie County, FL",507,343579,147.56
"Sumter County, FL",315,135638,232.24
"Suwannee County, FL",25,44485,56.2
"Taylor County, FL",18,21815,82.51
"Union County, FL",20,16335,122.44
"Volusia County, FL",1379,564412,244.33
"Wakulla County, FL",23,34690,66.3
"Walton County, FL",156,80069,194.83
"Washington County, FL",20,25436,78.63
"Appling County, GA",14,18488,75.72
"Atkinson County, GA",0,8391,0
"Bacon County, GA",15,11079,135.39
"Baker County, GA",0,2819,0
"Baldwin County, GA",87,43781,198.72
"Banks County, GA",3,18562,16.16
