county,number_of_md,population_by_cty,"md_rate_per_100,000"
"Lafayette County, MS",186,56884,326.98
"Lamar County, MS",356,65353,544.73
"Lauderdale County, MS",263,72088,364.83
"Lawrence County, MS",7,11812,59.26
"Leake County, MS",14,21196,66.05
"Lee County, MS",389,82883,469.34
"Leflore County, MS",64,27557,232.25
"Lincoln County, MS",52,34943,148.81
"Lowndes County, MS",128,58150,220.12
"Madison County, MS",812,109813,739.44
"Marion County, MS",17,24378,69.74
"Marshall County, MS",8,33725,23.72
"Monroe County, MS",39,33883,115.1
"Montgomery County, MS",7,9729,71.95
"Neshoba County, MS",31,28993,106.92
"Newton County, MS",5,21056,23.75
"Noxubee County, MS",5,10123,49.39
"Oktibbeha County, MS",70,51842,135.03
"Panola County, MS",19,32851,57.84
"Pearl River County, MS",41,56503,72.56
"Perry County, MS",5,11571,43.21
"Pike County, MS",62,39973,155.1
"Pontotoc County, MS",12,31445,38.16
"Prentiss County, MS",26,24996,104.02
"Quitman County, MS",4,5935,67.4
"Rankin County, MS",521,158096,329.55
"Scott County, MS",12,27598,43.48
"Sharkey County, MS",2,3663,54.6
"Simpson County, MS",12,25750,46.6
"Smith County, MS",4,14191,28.19
"Stone County, MS",12,18644,64.36
"Sunflower County, MS",18,25402,70.86
"Tallahatchie County, MS",5,12366,40.43
"Tate County, MS",11,28234,38.96
"Tippah County, MS",9,21635,41.6
"Tishomingo County, MS",10,18750,53.33
"Tunica County, MS",4,9696,41.25
"Union County, MS",30,27953,107.32
"Walthall County, MS",7,13836,50.59
"Warren County, MS",94,43579,215.7
"Washington County, MS",73,43687,167.1
"Wayne County, MS",8,19709,40.59
"Webster County, MS",5,9983,50.09
"Wilkinson County, MS",5,8315,60.13
"Winston County, MS",10,17596,56.83
"Yalobusha County, MS",5,12415,40.27
"Yazoo County, MS",19,26373,72.04
"Adair County, MO",14,25185,55.59
"Andrew County, MO",4,18002,22.22
"Atchison County, MO",3,5234,57.32
"Audrain County, MO",35,24982,140.1
"Barry County, MO",30,34712,86.43
"Barton County, MO",8,11658,68.62
"Bates County, MO",5,16105,31.05
"Benton County, MO",5,19908,25.12
"Bollinger County, MO",2,10556,18.95
"Boone County, MO",1762,185840,948.13
"Buchanan County, MO",191,83853,227.78
"Butler County, MO",121,42101,287.4
"Caldwell County, MO",1,8897,11.24
"Callaway County, MO",35,44638,78.41
"Camden County, MO",67,43436,154.25
"Cape Girardeau County, MO",339,82113,412.85
"Carroll County, MO",3,8376,35.82
"Carter County, MO",2,5320,37.59
"Cass County, MO",67,109638,61.11
"Cedar County, MO",8,14496,55.19
"Chariton County, MO",1,7356,13.59
"Christian County, MO",121,91499,132.24
"Clark County, MO",0,6736,0
"Clay County, MO",452,255518,176.9
"Clinton County, MO",17,21287,79.86
"Cole County, MO",173,77205,224.08
"Cooper County, MO",9,17115,52.59
"Crawford County, MO",4,22807,17.54
"Dade County, MO",4,7599,52.64
"Dallas County, MO",0,17341,0
"Daviess County, MO",2,8399,23.81
"DeKalb County, MO",1,11098,9.01
"Dent County, MO",7,14432,48.5
"Douglas County, MO",3,11732,25.57
"Dunklin County, MO",12,27717,43.29
"Franklin County, MO",145,105231,137.79
"Gasconade County, MO",12,14791,81.13
"Gentry County, MO",2,6173,32.4
"Greene County, MO",988,300865,328.39
"Grundy County, MO",7,9720,72.02
"Harrison County, MO",2,8164,24.5
"Henry County, MO",25,22206,112.58
"Hickory County, MO",2,8607,23.24
"Holt County, MO",1,4226,23.66
"Howard County, MO",7,10168,68.84
"Howell County, MO",93,39975,232.65
"Iron County, MO",2,9408,21.26
"Jackson County, MO",2660,716862,371.06
"Jasper County, MO",329,123155,267.14
"Jefferson County, MO",131,227771,57.51
"Johnson County, MO",43,54150,79.41
"Knox County, MO",1,3808,26.26
"Laclede County, MO",28,36133,77.49
"Lafayette County, MO",9,32817,27.42
"Lawrence County, MO",25,38321,65.24
"Lewis County, MO",2,10000,20
"Lincoln County, MO",7,61586,11.37
"Linn County, MO",8,11843,67.55
"Livingston County, MO",12,14755,81.33
"Macon County, MO",5,15183,32.93
"Madison County, MO",8,12652,63.23
"Maries County, MO",2,8406,23.79
"Marion County, MO",87,28518,305.07
"McDonald County, MO",1,23383,4.28
"Mercer County, MO",1,3488,28.67
"Miller County, MO",11,24909,44.16
"Mississippi County, MO",3,12538,23.93
"Moniteau County, MO",4,15484,25.83
"Monroe County, MO",0,8712,0
"Montgomery County, MO",4,11415,35.04
"Morgan County, MO",11,21379,51.45
"New Madrid County, MO",3,16035,18.71
"Newton County, MO",15,59386,25.26
"Nodaway County, MO",16,21160,75.61
"Oregon County, MO",2,8631,23.17
"Osage County, MO",1,13379,7.47
"Ozark County, MO",1,8782,11.39
"Pemiscot County, MO",14,15236,91.89
"Perry County, MO",12,18922,63.42
"Pettis County, MO",52,43188,120.4
"Phelps County, MO",91,44937,202.51
"Pike County, MO",12,17761,67.56
"Platte County, MO",268,108569,246.85
"Polk County, MO",45,32043,140.44
"Pulaski County, MO",32,53816,59.46
"Putnam County, MO",3,4712,63.67
"Ralls County, MO",1,10361,9.65
"Randolph County, MO",10,24760,40.39
"Ray County, MO",7,23008,30.42
"Reynolds County, MO",1,6087,16.43
"Ripley County, MO",3,10617,28.26
"Saline County, MO",19,23289,81.58
"Schuyler County, MO",0,4025,0
"Scotland County, MO",5,4693,106.54
"Scott County, MO",60,37840,158.56
"Shannon County, MO",1,7106,14.07
"Shelby County, MO",1,5976,16.73
"St. Charles County, MO",498,409981,121.47
"St. Clair County, MO",5,9376,53.33
"St. Francois County, MO",85,67541,125.85
"St. Louis City, MO",4091,293310,1394.77
"St. Louis County, MO",6266,997187,628.37
"Ste. Genevieve County, MO",21,18588,112.98
"Stoddard County, MO",15,28479,52.67
"Stone County, MO",10,31548,31.7
"Sullivan County, MO",0,5934,0
"Taney County, MO",98,56387,173.8
"Texas County, MO",12,24987,48.03
"Vernon County, MO",29,19595,148
"Warren County, MO",11,36518,30.12
"Washington County, MO",8,23502,34.04
"Wayne County, MO",3,10914,27.49
"Webster County, MO",42,39735,105.7
"Worth County, MO",0,1983,0
"Wright County, MO",8,18610,42.99
"Beaverhead County, MT",25,9524,262.49
"Big Horn County, MT",16,12957,123.49
"Blaine County, MT",6,6980,85.96
"Broadwater County, MT",5,7288,68.61
"Carbon County, MT",17,10847,156.73
"Carter County, MT",0,1428,0
"Cascade County, MT",272,84511,321.85
"Chouteau County, MT",0,5916,0
"Custer County, MT",27,11916,226.59
"Daniels County, MT",0,1686,0
"Dawson County, MT",10,8904,112.31
"Deer Lodge County, MT",30,9491,316.09
"Fallon County, MT",2,3017,66.29
"Fergus County, MT",24,11617,206.59
"Flathead County, MT",480,108454,442.58
"Gallatin County, MT",440,122713,358.56
"Garfield County, MT",0,1209,0
"Glacier County, MT",18,13785,130.58
"Golden Valley County, MT",1,831,120.34
"Granite County, MT",5,3344,149.52
"Hill County, MT",24,16179,148.34
"Jefferson County, MT",33,12470,264.64
"Judith Basin County, MT",2,2044,97.85
"Lake County, MT",53,32033,165.45
"Lewis and Clark County, MT",234,72223,324
"Liberty County, MT",2,1946,102.77
"Lincoln County, MT",29,20525,141.29
"Madison County, MT",13,8917,145.79
"McCone County, MT",0,1718,0
"Meagher County, MT",2,1964,101.83
"Mineral County, MT",6,4860,123.46
"Missoula County, MT",606,119533,506.97
"Musselshell County, MT",3,4896,61.27
"Park County, MT",41,17473,234.65
"Petroleum County, MT",0,519,0
"Phillips County, MT",1,4192,23.86
"Pondera County, MT",4,5994,66.73
"Powder River County, MT",0,1702,0
"Powell County, MT",11,6999,157.17
"Prairie County, MT",1,1091,91.66
"Ravalli County, MT",99,45959,215.41
"Richland County, MT",19,11283,168.39
"Roosevelt County, MT",12,10821,110.9
"Rosebud County, MT",8,8124,98.47
"Sanders County, MT",18,12959,138.9
"Sheridan County, MT",3,3527,85.06
"Silver Bow County, MT",80,35411,225.92
"Stillwater County, MT",9,9044,99.51
"Sweet Grass County, MT",5,3723,134.3
"Teton County, MT",4,6269,63.81
"Toole County, MT",2,5011,39.91
"Treasure County, MT",1,768,130.21
"Valley County, MT",15,7537,199.02
"Wheatland County, MT",1,2059,48.57
"Wibaux County, MT",0,934,0
"Yellowstone County, MT",768,167146,459.48
"Adams County, NE",86,31027,277.18
"Antelope County, NE",4,6279,63.7
"Arthur County, NE",0,439,0
"Banner County, NE",1,692,144.51
"Blaine County, NE",0,461,0
"Boone County, NE",11,5386,204.23
"Box Butte County, NE",9,10604,84.87
"Boyd County, NE",4,1789,223.59
"Brown County, NE",1,2908,34.39
"Buffalo County, NE",183,50339,363.54
"Burt County, NE",3,6709,44.72
"Butler County, NE",13,8444,153.96
"Cass County, NE",20,27017,74.03
"Cedar County, NE",5,8330,60.02
"Chase County, NE",4,3826,104.55
"Cherry County, NE",7,5458,128.25
"Cheyenne County, NE",16,9529,167.91
"Clay County, NE",3,6078,49.36
"Colfax County, NE",3,10498,28.58
"Cuming County, NE",4,8984,44.52
"Custer County, NE",8,10460,76.48
"Dakota County, NE",5,21241,23.54
"Dawes County, NE",10,8148,122.73
"Dawson County, NE",19,23898,79.5
"Deuel County, NE",2,1865,107.24
"Dixon County, NE",2,5545,36.07
"Dodge County, NE",58,37103,156.32
"Douglas County, NE",3770,585008,644.44
"Dundy County, NE",1,1635,61.16
"Fillmore County, NE",4,5546,72.12
"Franklin County, NE",2,2903,68.89
"Frontier County, NE",0,2555,0
"Furnas County, NE",7,4604,152.04
"Gage County, NE",31,21616,143.41
"Garden County, NE",2,1847,108.28
"Garfield County, NE",3,1839,163.13
"Gosper County, NE",1,1824,54.82
"Grant County, NE",0,579,0
"Greeley County, NE",0,2169,0
"Hall County, NE",139,61979,224.27
"Hamilton County, NE",17,9386,181.12
"Harlan County, NE",3,3091,97.06
"Hayes County, NE",0,843,0
"Hitchcock County, NE",0,2586,0
"Holt County, NE",18,10049,179.12
"Hooker County, NE",2,734,272.48
"Howard County, NE",6,6531,91.87
"Jefferson County, NE",5,7176,69.68
"Johnson County, NE",4,5316,75.24
"Kearney County, NE",6,6674,89.9
"Keith County, NE",14,8279,169.1
"Keya Paha County, NE",0,787,0
"Kimball County, NE",1,3412,29.31
"Knox County, NE",7,8401,83.32
"Lancaster County, NE",872,324514,268.71
"Lincoln County, NE",93,34133,272.46
"Logan County, NE",0,687,0
"Loup County, NE",0,604,0
"Madison County, NE",83,35337,234.88
"McPherson County, NE",0,379,0
"Merrick County, NE",3,7665,39.14
"Morrill County, NE",3,4574,65.59
"Nance County, NE",0,3390,0
"Nemaha County, NE",8,7064,113.25
"Nuckolls County, NE",6,4060,147.78
"Otoe County, NE",18,15930,112.99
"Pawnee County, NE",2,2548,78.49
"Perkins County, NE",4,2832,141.24
"Phelps County, NE",14,8937,156.65
"Pierce County, NE",6,7313,82.05
"Platte County, NE",50,34241,146.02
"Polk County, NE",4,5174,77.31
"Red Willow County, NE",14,10623,131.79
"Richardson County, NE",4,7759,51.55
"Rock County, NE",2,1264,158.23
"Saline County, NE",10,14192,70.46
"Sarpy County, NE",316,193418,163.38
"Saunders County, NE",19,22787,83.38
"Scotts Bluff County, NE",88,35745,246.19
"Seward County, NE",15,17603,85.21
"Sheridan County, NE",2,5095,39.25
"Sherman County, NE",1,2964,33.74
"Sioux County, NE",1,1143,87.49
"Stanton County, NE",1,5816,17.19
"Thayer County, NE",6,4913,122.13
"Thomas County, NE",0,673,0
"Thurston County, NE",12,6620,181.27
"Valley County, NE",6,4066,147.57
"Washington County, NE",21,20969,100.15
"Wayne County, NE",7,9784,71.55
"Webster County, NE",1,3411,29.32
"Wheeler County, NE",0,795,0
"York County, NE",16,14244,112.33
"Carson City, NV",176,58993,298.34
"Churchill County, NV",27,25723,104.96
"Clark County, NV",5494,2292476,239.65
"Douglas County, NV",117,49870,234.61
"Elko County, NV",50,53915,92.74
"Esmeralda County, NV",2,743,269.18
"Eureka County, NV",0,1903,0
"Humboldt County, NV",14,17648,79.33
"Lander County, NV",4,5798,68.99
"Lincoln County, NV",4,4525,88.4
"Lyon County, NV",22,60903,36.12
"Mineral County, NV",5,4586,109.03
"Nye County, NV",24,53450,44.9
"Pershing County, NV",4,6741,59.34
"Storey County, NV",0,4143,0
"Washoe County, NV",1881,493392,381.24
"White Pine County, NV",14,9182,152.47
"Belknap County, NH",175,64460,271.49
"Carroll County, NH",141,51500,273.79
"Cheshire County, NH",218,77329,281.91
"Coos County, NH",82,31289,262.07
"Grafton County, NH",1663,92201,1803.67
"Hillsborough County, NH",1287,424079,303.48
"Merrimack County, NH",583,155238,375.55
"Rockingham County, NH",890,316947,280.8
"Strafford County, NH",290,132416,219.01
"Sullivan County, NH",122,43533,280.25
"Atlantic County, NJ",755,274966,274.58
"Bergen County, NJ",6118,953819,641.42
"Burlington County, NJ",1487,464269,320.29
"Camden County, NJ",2279,523771,435.11
"Cape May County, NJ",170,95661,177.71
"Cumberland County, NJ",194,153627,126.28
"Essex County, NJ",3910,854917,457.35
"Gloucester County, NJ",443,304477,145.5
"Hudson County, NJ",1574,702463,224.07
"Hunterdon County, NJ",476,129924,366.37
"Mercer County, NJ",1755,385898,454.78
"Middlesex County, NJ",3732,860807,433.55
"Monmouth County, NJ",3135,645354,485.78
"Morris County, NJ",2491,510981,487.49
"Ocean County, NJ",979,648998,150.85
"Passaic County, NJ",1166,518117,225.05
"Salem County, NJ",53,65046,81.48
"Somerset County, NJ",1964,345647,568.21
"Sussex County, NJ",210,145543,144.29
"Union County, NJ",1688,572114,295.05
"Warren County, NJ",189,110731,170.68
"Bernalillo County, NM",4001,674393,593.27
"Catron County, NM",6,3731,160.81
"Chaves County, NM",118,64629,182.58
"Cibola County, NM",24,27184,88.29
"Colfax County, NM",23,12369,185.95
"Curry County, NM",64,47999,133.34
"De Baca County, NM",1,1680,59.52
"Dona Ana County, NM",454,221508,204.96
"Eddy County, NM",69,60911,113.28
"Grant County, NM",67,27889,240.24
"Guadalupe County, NM",1,4449,22.48
"Harding County, NM",0,639,0
"Hidalgo County, NM",2,4074,49.09
"Lea County, NM",46,73004,63.01
"Lincoln County, NM",37,20436,181.05
"Los Alamos County, NM",79,19330,408.69
"Luna County, NM",21,25532,82.25
"McKinley County, NM",164,71780,228.48
"Mora County, NM",1,4196,23.83
"Otero County, NM",91,68537,132.78
"Quay County, NM",4,8656,46.21
"Rio Arriba County, NM",49,40179,121.95
"Roosevelt County, NM",15,19019,78.87
"San Juan County, NM",221,120993,182.66
"San Miguel County, NM",44,27150,162.06
"Sandoval County, NM",335,151369,221.31
"Santa Fe County, NM",809,155201,521.26
"Sierra County, NM",20,11502,173.88
"Socorro County, NM",23,16311,141.01
"Taos County, NM",103,34623,297.49
"Torrance County, NM",3,15307,19.6
"Union County, NM",4,4107,97.39
"Valencia County, NM",52,77190,67.37
"Alamance County, NC",277,173877,159.31
"Alexander County, NC",15,36644,40.93
"Alleghany County, NC",16,11049,144.81
"Anson County, NC",17,22060,77.06
"Ashe County, NC",35,26711,131.03
"Avery County, NC",19,17864,106.36
"Beaufort County, NC",80,44468,179.9
"Bertie County, NC",6,17505,34.28
"Bladen County, NC",16,29525,54.19
"Brunswick County, NC",217,144215,150.47
"Buncombe County, NC",1783,271534,656.64
"Burke County, NC",188,87611,214.58
"Cabarrus County, NC",534,231278,230.89
"Caldwell County, NC",101,80463,125.52
"Camden County, NC",5,10835,46.15
"Carteret County, NC",191,68541,278.67
"Caswell County, NC",11,22714,48.43
"Catawba County, NC",440,161723,272.07
"Chatham County, NC",731,77889,938.52
"Cherokee County, NC",35,29167,120
"Chowan County, NC",34,13722,247.78
"Clay County, NC",17,11309,150.32
"Cleveland County, NC",162,100359,161.42
"Columbus County, NC",56,50092,111.79
"Craven County, NC",301,100674,298.98
"Cumberland County, NC",850,335508,253.35
"Currituck County, NC",15,29653,50.59
"Dare County, NC",66,37826,174.48
"Davidson County, NC",116,170637,67.98
"Davie County, NC",99,43533,227.41
"Duplin County, NC",32,48515,65.96
"Durham County, NC",4275,326126,1310.84
"Edgecombe County, NC",38,48359,78.58
"Forsyth County, NC",3000,385523,778.16
"Franklin County, NC",18,71703,25.1
"Gaston County, NC",390,230856,168.94
"Gates County, NC",2,10366,19.29
"Graham County, NC",4,8043,49.73
"Granville County, NC",82,61986,132.29
"Greene County, NC",5,20417,24.49
"Guilford County, NC",1734,542410,319.68
"Halifax County, NC",69,48272,142.94
"Harnett County, NC",89,135966,65.46
"Haywood County, NC",144,62476,230.49
"Henderson County, NC",368,116829,314.99
"Hertford County, NC",39,21278,183.29
"Hoke County, NC",20,53114,37.65
"Hyde County, NC",2,4508,44.37
"Iredell County, NC",426,191968,221.91
"Jackson County, NC",115,43410,264.92
"Johnston County, NC",143,226504,63.13
"Jones County, NC",13,9255,140.46
"Lee County, NC",99,64138,154.35
"Lenoir County, NC",99,54706,180.97
"Lincoln County, NC",106,89670,118.21
"Macon County, NC",92,37564,244.92
"Madison County, NC",23,21502,106.97
"Martin County, NC",17,21754,78.15
"McDowell County, NC",51,44717,114.05
"Mecklenburg County, NC",4525,1122276,403.2
"Mitchell County, NC",25,14963,167.08
"Montgomery County, NC",10,25798,38.76
"Moore County, NC",523,102763,508.94
"Nash County, NC",165,95176,173.36
"New Hanover County, NC",1052,229018,459.35
"Northampton County, NC",7,17129,40.87
"Onslow County, NC",271,206160,131.45
"Orange County, NC",2762,148884,1855.14
"Pamlico County, NC",15,12344,121.52
"Pasquotank County, NC",80,40821,195.98
"Pender County, NC",58,62815,92.33
"Perquimans County, NC",7,13130,53.31
"Person County, NC",40,39127,102.23
"Pitt County, NC",1367,172169,793.99
"Polk County, NC",58,19656,295.08
"Randolph County, NC",138,145172,95.06
"Richmond County, NC",28,42724,65.54
"Robeson County, NC",150,116328,128.95
"Rockingham County, NC",86,91266,94.23
"Rowan County, NC",225,148150,151.87
"Rutherford County, NC",93,64586,143.99
"Sampson County, NC",57,58990,96.63
"Scotland County, NC",48,34227,140.24
"Stanly County, NC",68,63425,107.21
"Stokes County, NC",28,44553,62.85
"Surry County, NC",102,71152,143.36
"Swain County, NC",22,14136,155.63
"Transylvania County, NC",85,33165,256.29
"Tyrrell County, NC",0,3254,0
"Union County, NC",466,243648,191.26
"Vance County, NC",49,42185,116.16
"Wake County, NC",3994,1150204,347.24
"Warren County, NC",3,18762,15.99
"Washington County, NC",8,10892,73.45
"Watauga County, NC",193,54234,355.87
"Wayne County, NC",203,116835,173.75
"Wilkes County, NC",80,65806,121.57
"Wilson County, NC",114,78369,145.47
"Yadkin County, NC",20,37192,53.78
"Yancey County, NC",27,18757,143.95
"Adams County, ND",18,2167,830.64
"Barnes County, ND",12,10806,111.05
"Benson County, ND",2,5809,34.43
"Billings County, ND",1,955,104.71
"Bottineau County, ND",5,6390,78.25
"Bowman County, ND",1,2903,34.45
"Burke County, ND",0,2158,0
"Burleigh County, ND",459,98933,463.95
"Cass County, ND",943,186562,505.46
"Cavalier County, ND",5,3662,136.54
"Dickey County, ND",4,4897,81.68
"Divide County, ND",1,2188,45.7
"Dunn County, ND",0,4035,0
"Eddy County, ND",0,2337,0
"Emmons County, ND",1,3271,30.57
"Foster County, ND",3,3364,89.18
"Golden Valley County, ND",0,1770,0
"Grand Forks County, ND",361,72705,496.53
"Grant County, ND",3,2323,129.14
"Griggs County, ND",2,2281,87.68
"Hettinger County, ND",0,2430,0
"Kidder County, ND",2,2369,84.42
"LaMoure County, ND",0,4066,0
"Logan County, ND",0,1883,0
"McHenry County, ND",2,5249,38.1
"McIntosh County, ND",3,2513,119.38
"McKenzie County, ND",4,13819,28.95
"McLean County, ND",6,9796,61.25
"Mercer County, ND",7,8323,84.1
"Morton County, ND",25,33611,74.38
"Mountrail County, ND",5,9576,52.21
"Nelson County, ND",3,3054,98.23
"Oliver County, ND",0,1873,0
"Pembina County, ND",6,6767,88.67
"Pierce County, ND",4,3953,101.19
"Ramsey County, ND",20,11572,172.83
"Ransom County, ND",6,5675,105.73
"Renville County, ND",1,2266,44.13
"Richland County, ND",24,16560,144.93
"Rolette County, ND",19,12048,157.7
"Sargent County, ND",0,3829,0
"Sheridan County, ND",0,1268,0
"Sioux County, ND",0,3738,0
"Slope County, ND",0,690,0
"Stark County, ND",45,33046,136.17
"Steele County, ND",1,1810,55.25
"Stutsman County, ND",38,21576,176.12
"Towner County, ND",0,2140,0
"Traill County, ND",8,8003,99.96
"Walsh County, ND",10,10469,95.52
"Ward County, ND",194,69071,280.87
"Wells County, ND",6,3905,153.65
"Williams County, ND",55,38484,142.92
"Albany County, NY",2209,313743,704.08
"Allegany County, NY",42,46106,91.09
"Bronx County, NY",4961,1424948,348.15
"Broome County, NY",652,197240,330.56
"Cattaraugus County, NY",113,76426,147.86
"Cayuga County, NY",89,75880,117.29
"Chautauqua County, NY",211,126807,166.39
"Chemung County, NY",283,83045,340.78
"Chenango County, NY",52,46537,111.74
"Clinton County, NY",244,79596,306.55
"Columbia County, NY",137,61778,221.76
"Cortland County, NY",55,46311,118.76
"Delaware County, NY",36,44378,81.12
"Dutchess County, NY",1077,297112,362.49
"Erie County, NY",4237,950683,445.68
"Essex County, NY",62,37268,166.36
"Franklin County, NY",99,47456,208.61
"Fulton County, NY",61,53116,114.84
"Genesee County, NY",77,57853,133.10
"Greene County, NY",45,48499,92.79
"Hamilton County, NY",4,5119,78.14
"Herkimer County, NY",45,59937,75.08
"Jefferson County, NY",233,116295,200.35
"Kings County, NY",9296,2641052,351.98
"Lewis County, NY",27,26573,101.61
"Livingston County, NY",64,61578,103.93
"Madison County, NY",138,67658,203.97
"Monroe County, NY",4677,755160,619.34
"Montgomery County, NY",79,49558,159.41
"Nassau County, NY",10888,1390907,782.80
"New York County, NY",24912,1576876,1579.83
"Niagara County, NY",296,211653,139.85
"Oneida County, NY",566,230274,245.79
"Onondaga County, NY",2728,473236,576.46
"Ontario County, NY",359,112508,319.09
"Orange County, NY",1051,404525,259.81
"Orleans County, NY",21,40191,52.25
"Oswego County, NY",105,117387,89.45
"Otsego County, NY",439,58123,755.29
"Putnam County, NY",239,97936,244.04
"Queens County, NY",7219,2331143,309.68
"Rensselaer County, NY",279,160232,174.12
"Richmond County, NY",1994,493494,404.06
"Rockland County, NY",1350,339227,397.96
"Saratoga County, NY",620,237359,261.21
"Schenectady County, NY",492,158089,311.22
"Schoharie County, NY",22,29863,73.67
"Schuyler County, NY",24,17752,135.20
"Seneca County, NY",23,33688,68.27
"St. Lawrence County, NY",216,108051,199.91
"Steuben County, NY",191,92948,205.49
"Suffolk County, NY",6039,1526344,395.65
"Sullivan County, NY",103,79806,129.06
"Tioga County, NY",34,47980,70.86
"Tompkins County, NY",312,105162,296.69
"Ulster County, NY",391,182951,213.72
"Warren County, NY",263,65618,400.80
"Washington County, NY",40,60956,65.62
"Wayne County, NY",81,90923,89.09
"Westchester County, NY",8162,997895,817.92
"Wyoming County, NY",45,40491,111.14
"Yates County, NY",37,24613,150.33
"Ottawa County, OH",61,40104,152.1
"Paulding County, OH",7,18871,37.09
"Perry County, OH",11,35460,31.02
"Pickaway County, OH",54,59333,91.01
"Pike County, OH",19,27089,70.14
"Portage County, OH",244,162382,150.26
"Preble County, OH",16,40867,39.15
"Putnam County, OH",24,34318,69.93
"Richland County, OH",222,125195,177.32
"Ross County, OH",150,76891,195.08
"Sandusky County, OH",40,58715,68.13
"Scioto County, OH",110,73346,149.97
"Seneca County, OH",42,54906,76.49
"Shelby County, OH",43,47977,89.63
"Stark County, OH",1022,373834,273.38
"Summit County, OH",2123,537633,394.88
"Trumbull County, OH",281,201335,139.57
"Tuscarawas County, OH",105,92500,113.51
"Union County, OH",118,64971,181.62
"Van Wert County, OH",26,28732,90.49
"Vinton County, OH",2,12696,15.75
"Warren County, OH",782,246553,317.17
"Washington County, OH",128,59423,215.4
"Wayne County, OH",162,116710,138.81
"Williams County, OH",44,36716,119.84
"Wood County, OH",381,132472,287.61
"Wyandot County, OH",13,21708,59.89
"Adair County, OK",16,19414,82.41
"Alfalfa County, OK",1,5710,17.51
"Atoka County, OK",1,14324,6.98
"Beaver County, OK",1,4980,20.08
"Beckham County, OK",28,22046,127.01
"Blaine County, OK",11,8562,128.47
"Bryan County, OK",41,47105,87.04
"Caddo County, OK",8,26368,30.34
"Canadian County, OK",121,161737,74.81
"Carter County, OK",88,48291,182.23
"Cherokee County, OK",71,47627,149.08
"Choctaw County, OK",4,14307,27.96
"Cimarron County, OK",0,2248,0
"Cleveland County, OK",556,297597,186.83
"Coal County, OK",1,5276,18.95
"Comanche County, OK",234,122063,191.7
"Cotton County, OK",3,5480,54.74
"Craig County, OK",6,14115,42.51
"Creek County, OK",29,72029,40.26
"Custer County, OK",26,28163,92.32
"Delaware County, OK",34,41000,82.93
"Dewey County, OK",2,4417,45.28
"Ellis County, OK",3,3762,79.74
"Garfield County, OK",101,61926,163.1
"Garvin County, OK",5,25804,19.38
"Grady County, OK",31,55508,55.85
"Grant County, OK",3,4131,72.62
"Greer County, OK",5,5487,91.12
"Harmon County, OK",1,2418,41.36
"Harper County, OK",1,3180,31.45
"Haskell County, OK",2,11602,17.24
"Hughes County, OK",2,13405,14.92
"Jackson County, OK",32,24777,129.15
"Jefferson County, OK",1,5438,18.39
"Johnston County, OK",4,10301,38.83
"Kay County, OK",53,43732,121.19
"Kingfisher County, OK",10,15204,65.77
"Kiowa County, OK",5,8410,59.45
"Latimer County, OK",2,9427,21.22
"Le Flore County, OK",22,48476,45.38
"Lincoln County, OK",12,33829,35.47
"Logan County, OK",18,50885,35.37
"Love County, OK",3,10216,29.37
"Major County, OK",3,7668,39.12
"Marshall County, OK",5,15594,32.06
"Mayes County, OK",20,39159,51.07
"McClain County, OK",34,43516,78.13
"McCurtain County, OK",14,30884,45.33
"McIntosh County, OK",6,19245,31.18
"Murray County, OK",6,13718,43.74
"Muskogee County, OK",106,66146,160.25
"Noble County, OK",6,10933,54.88
"Nowata County, OK",2,9303,21.5
"Okfuskee County, OK",2,11197,17.86
"Oklahoma County, OK",4003,798575,501.27
"Okmulgee County, OK",17,36843,46.14
"Osage County, OK",15,45772,32.77
"Ottawa County, OK",30,30340,98.88
"Pawnee County, OK",5,15741,31.76
"Payne County, OK",119,81989,145.14
"Pittsburg County, OK",57,43633,130.64
"Pontotoc County, OK",81,38163,212.25
"Pottawatomie County, OK",65,73019,89.02
"Pushmataha County, OK",2,10815,18.49
"Roger Mills County, OK",3,3386,88.6
"Rogers County, OK",69,96695,71.36
"Seminole County, OK",11,23567,46.68
"Sequoyah County, OK",13,39508,32.9
"Stephens County, OK",42,43129,97.38
"Texas County, OK",11,20865,52.72
"Tillman County, OK",2,7076,28.26
"Tulsa County, OK",2211,672858,328.6
"Wagoner County, OK",45,84050,53.54
"Washington County, OK",68,52772,128.86
"Washita County, OK",2,10915,18.32
"Woods County, OK",5,8583,58.25
"Woodward County, OK",11,20205,54.44
"Baker County, OR",22,16847,130.59
"Benton County, OR",432,96017,449.92
"Clackamas County, OR",1612,422537,381.51
"Clatsop County, OR",95,41810,227.22
"Columbia County, OR",24,53074,45.22
"Coos County, OR",189,64999,290.77
"Crook County, OR",32,25739,124.33
"Curry County, OR",35,23683,147.79
"Deschutes County, OR",892,204801,435.54
"Douglas County, OR",245,111978,218.79
"Gilliam County, OR",1,2005,49.88
"Grant County, OR",8,7272,110.01
"Harney County, OR",10,7575,132.01
"Hood River County, OR",150,24057,623.52
"Jackson County, OR",901,223734,402.71
"Jefferson County, OR",32,25068,127.65
"Josephine County, OR",168,88346,190.16
"Klamath County, OR",193,70164,275.07
"Lake County, OR",11,8276,132.91
"Lane County, OR",1314,383189,342.91
"Lincoln County, OR",98,50862,192.68
"Linn County, OR",181,129839,139.4
"Malheur County, OR",39,31693,123.06
"Marion County, OR",856,347119,246.6
