county,county_md,state_md,number_of_md,population_by_cty,"md_rate_per_100,000"
"Bent County, CO",Bent,CO,1,5759,17.36
"Boulder County, CO",Boulder,CO,1513,329543,459.12
"Broomfield County, CO",Broomfield,CO,232,75325,308
"Chaffee County, CO",Chaffee,CO,77,20074,383.58
"Cheyenne County, CO",Cheyenne,CO,1,1707,58.58
"Clear Creek County, CO",Clear Creek,CO,3,9446,31.76
"Conejos County, CO",Conejos,CO,8,7612,105.1
"Costilla County, CO",Costilla,CO,1,3625,27.59
"Crowley County, CO",Crowley,CO,1,6012,16.63
"Custer County, CO",Custer,CO,5,5045,99.11
"Delta County, CO",Delta,CO,56,31661,176.87
"Denver County, CO",Denver,CO,5113,711463,718.66
"Dolores County, CO",Dolores,CO,0,2397,0
"Douglas County, CO",Douglas,CO,1020,368990,276.43
"Eagle County, CO",Eagle,CO,244,55727,437.85
"El Paso County, CO",El Paso,CO,2087,737867,282.84
"Elbert County, CO",Elbert,CO,11,27128,40.55
"Fremont County, CO",Fremont,CO,55,49661,110.75
"Garfield County, CO",Garfield,CO,184,62161,296.01
"Gilpin County, CO",Gilpin,CO,4,5873,68.11
"Grand County, CO",Grand,CO,27,15860,170.24
"Gunnison County, CO",Gunnison,CO,46,17281,266.19
"Hinsdale County, CO",Hinsdale,CO,5,781,640.2
"Huerfano County, CO",Huerfano,CO,15,6920,216.76
"Jackson County, CO",Jackson,CO,1,1363,73.37
"Jefferson County, CO",Jefferson,CO,1789,579581,308.67
"Kiowa County, CO",Kiowa,CO,1,1452,68.87
"Kit Carson County, CO",Kit Carson,CO,3,6950,43.17
"La Plata County, CO",La Plata,CO,313,56250,556.44
"Lake County, CO",Lake,CO,8,7407,108.01
"Larimer County, CO",Larimer,CO,1194,362533,329.35
"Las Animas County, CO",Las Animas,CO,27,14633,184.51
"Lincoln County, CO",Lincoln,CO,5,5688,87.9
"Logan County, CO",Logan,CO,24,21487,111.7
"Mesa County, CO",Mesa,CO,595,157335,378.17
"Mineral County, CO",Mineral,CO,2,924,216.45
"Moffat County, CO",Moffat,CO,11,13185,83.43
"Montezuma County, CO",Montezuma,CO,66,26175,252.15
"Montrose County, CO",Montrose,CO,119,43168,275.67
"Morgan County, CO",Morgan,CO,32,29008,110.31
"Otero County, CO",Otero,CO,23,18594,123.7
"Ouray County, CO",Ouray,CO,24,5035,476.66
"Park County, CO",Park,CO,7,17720,39.5
"Phillips County, CO",Phillips,CO,5,4512,110.82
"Pitkin County, CO",Pitkin,CO,88,17348,507.26
"Prowers County, CO",Prowers,CO,9,11996,75.03
"Pueblo County, CO",Pueblo,CO,438,169622,258.22
"Rio Blanco County, CO",Rio Blanco,CO,11,6476,169.86
"Rio Grande County, CO",Rio Grande,CO,18,11408,157.78
"Routt County, CO",Routt,CO,131,25091,522.1
"Saguache County, CO",Saguache,CO,9,6471,139.08
"San Juan County, CO",San Juan,CO,2,733,272.85
"San Miguel County, CO",San Miguel,CO,20,8074,247.71
"Sedgwick County, CO",Sedgwick,CO,2,2336,85.62
"Summit County, CO",Summit,CO,126,30941,407.23
"Teller County, CO",Teller,CO,30,24926,120.36
"Washington County, CO",Washington,CO,2,4861,41.14
"Weld County, CO",Weld,CO,567,340036,166.75
"Yuma County, CO",Yuma,CO,10,9941,100.59
"Capitol Planning Region, CT",Capitol,CT,NA,NA,NA
"Greater Bridgeport Planning Region, CT",Greater Bridgeport,CT,NA,NA,NA
"Lower Connecticut River Valley Planning Region, CT",Lower Connecticut River Valley,CT,NA,NA,NA
"Naugatuck Valley Planning Region, CT",Naugatuck Valley,CT,NA,NA,NA
"Northeastern Connecticut Planning Region, CT",Northeastern Connecticut,CT,NA,NA,NA
"Northwest Hills Planning Region, CT",Northwest Hills,CT,NA,NA,NA
"South Central Connecticut Planning Region, CT",South Central Connecticut,CT,NA,NA,NA
"Southeastern Connecticut Planning Region, CT",Southeastern Connecticut,CT,NA,NA,NA
"Western Connecticut Planning Region, CT",Western Connecticut,CT,NA,NA,NA
"Kent County, DE",Kent,DE,339,184149,184.09
"New Castle County, DE",New Castle,DE,2240,571708,391.81
"Sussex County, DE",Sussex,DE,571,247527,230.68
"District of Columbia, DC",District of Columbia,DC,6840,670050,1020.82
"Alachua County, FL",Alachua,FL,3280,279238,1174.63
"Baker County, FL",Baker,FL,26,28715,90.55
"Bay County, FL",Bay,FL,439,179168,245.02
"Bradford County, FL",Bradford,FL,15,28540,52.56
"Brevard County, FL",Brevard,FL,1737,616628,281.69
"Broward County, FL",Broward,FL,6761,1930983,350.13
"Calhoun County, FL",Calhoun,FL,7,13641,51.32
"Charlotte County, FL",Charlotte,FL,467,194843,239.68
"Citrus County, FL",Citrus,FL,355,158083,224.57
"Clay County, FL",Clay,FL,472,222361,212.27
"Collier County, FL",Collier,FL,1773,385980,459.35
"Columbia County, FL",Columbia,FL,143,70385,203.17
"DeSoto County, FL",DeSoto,FL,25,34408,72.66
"Dixie County, FL",Dixie,FL,6,17102,35.08
"Duval County, FL",Duval,FL,4327,999935,432.73
"Escambia County, FL",Escambia,FL,1325,322390,410.99
"Flagler County, FL",Flagler,FL,234,120932,193.5
"Franklin County, FL",Franklin,FL,15,12572,119.31
"Gadsden County, FL",Gadsden,FL,35,43714,80.07
"Gilchrist County, FL",Gilchrist,FL,9,18360,49.02
"Glades County, FL",Glades,FL,2,12234,16.35
"Gulf County, FL",Gulf,FL,22,14363,153.17
"Hamilton County, FL",Hamilton,FL,3,13993,21.44
"Hardee County, FL",Hardee,FL,8,25425,31.47
"Hendry County, FL",Hendry,FL,25,40313,62.01
"Hernando County, FL",Hernando,FL,344,200638,171.45
"Highlands County, FL",Highlands,FL,216,103296,209.11
"Hillsborough County, FL",Hillsborough,FL,6675,1478194,451.56
"Holmes County, FL",Holmes,FL,15,19784,75.82
"Indian River County, FL",Indian River,FL,561,163662,342.78
"Jackson County, FL",Jackson,FL,48,47694,100.64
"Jefferson County, FL",Jefferson,FL,9,14555,61.83
"Lafayette County, FL",Lafayette,FL,3,8382,35.79
"Lake County, FL",Lake,FL,868,395804,219.3
"Lee County, FL",Lee,FL,2343,787976,297.34
"Leon County, FL",Leon,FL,1201,292817,410.15
"Levy County, FL",Levy,FL,24,44158,54.35
"Liberty County, FL",Liberty,FL,1,7900,12.66
"Madison County, FL",Madison,FL,10,18288,54.68
"Manatee County, FL",Manatee,FL,1191,412703,288.59
"Marion County, FL",Marion,FL,898,385915,232.69
"Martin County, FL",Martin,FL,566,159942,353.88
"Miami-Dade County, FL",Miami-Dade,FL,12662,2662777,475.52
"Monroe County, FL",Monroe,FL,260,82170,316.42
"Nassau County, FL",Nassau,FL,170,94189,180.49
"Okaloosa County, FL",Okaloosa,FL,632,213255,296.36
"Okeechobee County, FL",Okeechobee,FL,56,40266,139.08
"Orange County, FL",Orange,FL,5628,1422746,395.57
"Osceola County, FL",Osceola,FL,616,403282,152.75
"Palm Beach County, FL",Palm Beach,FL,6489,1497987,433.18
"Pasco County, FL",Pasco,FL,1085,584067,185.77
"Pinellas County, FL",Pinellas,FL,3859,956615,403.4
"Polk County, FL",Polk,FL,1220,753520,161.91
"Putnam County, FL",Putnam,FL,82,74167,110.56
"Santa Rosa County, FL",Santa Rosa,FL,259,193998,133.51
"Sarasota County, FL",Sarasota,FL,2185,447057,488.75
"Seminole County, FL",Seminole,FL,1256,470093,267.18
"St. Johns County, FL",St. Johns,FL,1212,292466,414.41
"St. Lucie County, FL",St. Lucie,FL,507,343579,147.56
"Sumter County, FL",Sumter,FL,315,135638,232.24
"Suwannee County, FL",Suwannee,FL,25,44485,56.2
"Taylor County, FL",Taylor,FL,18,21815,82.51
"Union County, FL",Union,FL,20,16335,122.44
"Volusia County, FL",Volusia,FL,1379,564412,244.33
"Wakulla County, FL",Wakulla,FL,23,34690,66.3
"Walton County, FL",Walton,FL,156,80069,194.83
"Washington County, FL",Washington,FL,20,25436,78.63
"Appling County, GA",Appling,GA,14,18488,75.72
"Atkinson County, GA",Atkinson,GA,0,8391,0
"Bacon County, GA",Bacon,GA,15,11079,135.39
"Baker County, GA",Baker,GA,0,2819,0
"Baldwin County, GA",Baldwin,GA,87,43781,198.72
"Banks County, GA",Banks,GA,3,18562,16.16
"Barrow County, GA",Barrow,GA,64,86658,73.85
"Bartow County, GA",Bartow,GA,123,110843,110.97
"Ben Hill County, GA",Ben Hill,GA,12,17158,69.94
"Berrien County, GA",Berrien,GA,7,18147,38.57
"Bibb County, GA",Bibb,GA,1011,156762,644.93
"Bleckley County, GA",Bleckley,GA,10,12607,79.32
"Brantley County, GA",Brantley,GA,2,18101,11.05
"Brooks County, GA",Brooks,GA,6,16270,36.88
"Bryan County, GA",Bryan,GA,72,46938,153.39
"Bulloch County, GA",Bulloch,GA,141,82442,171.03
"Burke County, GA",Burke,GA,15,24310,61.7
"Butts County, GA",Butts,GA,12,25781,46.55
"Calhoun County, GA",Calhoun,GA,3,5509,54.46
"Camden County, GA",Camden,GA,51,55664,91.62
"Candler County, GA",Candler,GA,5,11037,45.3
"Carroll County, GA",Carroll,GA,219,121968,179.56
"Catoosa County, GA",Catoosa,GA,83,68397,121.35
"Charlton County, GA",Charlton,GA,4,12766,31.33
"Chatham County, GA",Chatham,GA,1341,296329,452.54
"Chattahoochee County, GA",Chattahoochee,GA,35,9048,386.83
"Chattooga County, GA",Chattooga,GA,6,24932,24.07
"Cherokee County, GA",Cherokee,GA,318,274615,115.8
"Clarke County, GA",Clarke,GA,510,128711,396.24
"Clay County, GA",Clay,GA,2,2882,69.4
"Clayton County, GA",Clayton,GA,293,297100,98.62
"Clinch County, GA",Clinch,GA,3,6725,44.61
"Cobb County, GA",Cobb,GA,2382,766802,310.64
"Coffee County, GA",Coffee,GA,64,43386,147.51
"Colquitt County, GA",Colquitt,GA,69,45812,150.62
"Columbia County, GA",Columbia,GA,839,159639,525.56
"Cook County, GA",Cook,GA,12,17225,69.67
"Coweta County, GA",Coweta,GA,226,149956,150.71
"Crawford County, GA",Crawford,GA,4,12153,32.91
"Crisp County, GA",Crisp,GA,37,19879,186.13
"Dade County, GA",Dade,GA,10,16326,61.25
"Dawson County, GA",Dawson,GA,34,28497,119.31
"Decatur County, GA",Decatur,GA,31,29038,106.76
"DeKalb County, GA",DeKalb,GA,5470,757718,721.9
"Dodge County, GA",Dodge,GA,27,19759,136.65
"Dooly County, GA",Dooly,GA,7,10885,64.31
"Dougherty County, GA",Dougherty,GA,295,84844,347.7
"Douglas County, GA",Douglas,GA,167,145814,114.53
"Early County, GA",Early,GA,7,10619,65.92
"Echols County, GA",Echols,GA,0,3699,0
"Effingham County, GA",Effingham,GA,29,66741,43.45
"Elbert County, GA",Elbert,GA,15,19579,76.61
"Emanuel County, GA",Emanuel,GA,15,22716,66.03
"Evans County, GA",Evans,GA,9,10672,84.33
"Fannin County, GA",Fannin,GA,38,25817,147.19
"Fayette County, GA",Fayette,GA,445,120574,369.07
"Floyd County, GA",Floyd,GA,425,98771,430.29
"Forsyth County, GA",Forsyth,GA,306,260206,117.6
"Franklin County, GA",Franklin,GA,21,23785,88.29
"Fulton County, GA",Fulton,GA,6840,1065334,642.05
"Gilmer County, GA",Gilmer,GA,39,32026,121.78
"Glascock County, GA",Glascock,GA,4,2919,137.03
"Glynn County, GA",Glynn,GA,292,84739,344.59
"Gordon County, GA",Gordon,GA,71,58237,121.92
"Grady County, GA",Grady,GA,22,25918,84.88
"Greene County, GA",Greene,GA,51,19536,261.06
"Gwinnett County, GA",Gwinnett,GA,2053,964546,212.85
"Habersham County, GA",Habersham,GA,52,46774,111.17
"Hall County, GA",Hall,GA,559,207369,269.57
"Hancock County, GA",Hancock,GA,2,8630,23.18
"Haralson County, GA",Haralson,GA,18,30572,58.88
"Harris County, GA",Harris,GA,55,35626,154.38
"Hart County, GA",Hart,GA,23,26409,87.09
"Heard County, GA",Heard,GA,5,11565,43.23
"Henry County, GA",Henry,GA,393,245235,160.25
"Houston County, GA",Houston,GA,256,166829,153.45
"Irwin County, GA",Irwin,GA,5,9618,51.99
"Jackson County, GA",Jackson,GA,151,80286,188.08
"Jasper County, GA",Jasper,GA,13,15278,85.09
"Jeff Davis County, GA",Jeff Davis,GA,3,14872,20.17
"Jefferson County, GA",Jefferson,GA,11,15524,70.86
"Jenkins County, GA",Jenkins,GA,4,8639,46.3
"Johnson County, GA",Johnson,GA,6,9160,65.5
"Jones County, GA",Jones,GA,12,28400,42.25
"Lamar County, GA",Lamar,GA,10,19080,52.41
"Lanier County, GA",Lanier,GA,2,9907,20.19
