county,county_md,state_md,number_of_md,population_by_cty,"md_rate_per_100,000"
"Carlisle County, KY",Carlisle,KY,1,4791,20.87
"Carroll County, KY",Carroll,KY,7,10863,64.44
"Carter County, KY",Carter,KY,8,26412,30.29
"Casey County, KY",Casey,KY,3,15866,18.91
"Christian County, KY",Christian,KY,136,72357,187.96
"Clark County, KY",Clark,KY,58,36871,157.31
"Clay County, KY",Clay,KY,14,20206,69.29
"Clinton County, KY",Clinton,KY,8,9265,86.35
"Crittenden County, KY",Crittenden,KY,5,8947,55.88
"Cumberland County, KY",Cumberland,KY,4,5879,68.04
"Daviess County, KY",Daviess,KY,273,103063,264.89
"Edmonson County, KY",Edmonson,KY,3,12291,24.41
"Elliott County, KY",Elliott,KY,1,7381,13.55
"Estill County, KY",Estill,KY,7,14092,49.67
"Fayette County, KY",Fayette,KY,2892,321793,898.71
"Fleming County, KY",Fleming,KY,8,15224,52.55
"Floyd County, KY",Floyd,KY,57,35274,161.59
"Franklin County, KY",Franklin,KY,76,51682,147.05
"Fulton County, KY",Fulton,KY,5,6512,76.78
"Gallatin County, KY",Gallatin,KY,5,8775,56.98
"Garrard County, KY",Garrard,KY,9,17362,51.84
"Grant County, KY",Grant,KY,16,25244,63.38
"Graves County, KY",Graves,KY,34,36615,92.86
"Grayson County, KY",Grayson,KY,40,26524,150.81
"Green County, KY",Green,KY,6,11291,53.14
"Greenup County, KY",Greenup,KY,31,35649,86.96
"Hancock County, KY",Hancock,KY,3,9064,33.1
"Hardin County, KY",Hardin,KY,238,111607,213.25
"Harlan County, KY",Harlan,KY,36,26164,137.59
"Harrison County, KY",Harrison,KY,30,18950,158.31
"Hart County, KY",Hart,KY,9,19460,46.25
"Henderson County, KY",Henderson,KY,77,44329,173.7
"Henry County, KY",Henry,KY,21,15657,134.13
"Hickman County, KY",Hickman,KY,0,4424,0
"Hopkins County, KY",Hopkins,KY,135,45138,299.08
"Jackson County, KY",Jackson,KY,6,12984,46.21
"Jefferson County, KY",Jefferson,KY,4451,777874,572.2
"Jessamine County, KY",Jessamine,KY,183,53626,341.25
"Johnson County, KY",Johnson,KY,29,22556,128.57
"Kenton County, KY",Kenton,KY,551,169495,325.08
"Knott County, KY",Knott,KY,8,14053,56.93
"Knox County, KY",Knox,KY,14,29909,46.81
"Larue County, KY",Larue,KY,3,15028,19.96
"Laurel County, KY",Laurel,KY,76,62561,121.48
"Lawrence County, KY",Lawrence,KY,13,16290,79.8
"Lee County, KY",Lee,KY,1,7451,13.42
"Leslie County, KY",Leslie,KY,5,10278,48.65
"Letcher County, KY",Letcher,KY,30,21253,141.16
"Lewis County, KY",Lewis,KY,5,12987,38.5
"Lincoln County, KY",Lincoln,KY,16,24243,66
"Livingston County, KY",Livingston,KY,9,8959,100.46
"Logan County, KY",Logan,KY,17,27771,61.21
"Lyon County, KY",Lyon,KY,4,8803,45.44
"Madison County, KY",Madison,KY,139,94666,146.83
"Magoffin County, KY",Magoffin,KY,4,11497,34.79
"Marion County, KY",Marion,KY,22,19725,111.53
"Marshall County, KY",Marshall,KY,30,31748,94.49
"Martin County, KY",Martin,KY,5,11140,44.88
"Mason County, KY",Mason,KY,44,16931,259.88
"McCracken County, KY",McCracken,KY,289,67454,428.44
"McCreary County, KY",McCreary,KY,5,16892,29.6
"McLean County, KY",McLean,KY,2,9100,21.98
"Meade County, KY",Meade,KY,7,30131,23.23
"Menifee County, KY",Menifee,KY,3,6194,48.43
"Mercer County, KY",Mercer,KY,20,22850,87.53
"Metcalfe County, KY",Metcalfe,KY,4,10349,38.65
"Monroe County, KY",Monroe,KY,8,11233,71.22
"Montgomery County, KY",Montgomery,KY,26,28219,92.14
"Morgan County, KY",Morgan,KY,6,13820,43.42
"Muhlenberg County, KY",Muhlenberg,KY,28,30694,91.22
"Nelson County, KY",Nelson,KY,54,47098,114.65
"Nicholas County, KY",Nicholas,KY,3,7712,38.9
"Ohio County, KY",Ohio,KY,12,23688,50.66
"Oldham County, KY",Oldham,KY,173,68685,251.87
"Owen County, KY",Owen,KY,8,11294,70.83
"Owsley County, KY",Owsley,KY,0,3953,0
"Pendleton County, KY",Pendleton,KY,6,14607,41.08
"Perry County, KY",Perry,KY,82,27929,293.6
"Pike County, KY",Pike,KY,168,57391,292.73
"Powell County, KY",Powell,KY,5,13133,38.07
"Pulaski County, KY",Pulaski,KY,155,65423,236.92
"Robertson County, KY",Robertson,KY,1,2257,44.31
"Rockcastle County, KY",Rockcastle,KY,15,16115,93.08
"Rowan County, KY",Rowan,KY,76,24861,305.7
"Russell County, KY",Russell,KY,16,18156,88.13
"Scott County, KY",Scott,KY,92,58252,157.93
"Shelby County, KY",Shelby,KY,68,48461,140.32
"Simpson County, KY",Simpson,KY,10,19718,50.72
"Spencer County, KY",Spencer,KY,18,19916,90.38
"Taylor County, KY",Taylor,KY,37,26235,141.03
"Todd County, KY",Todd,KY,4,12285,32.56
"Trigg County, KY",Trigg,KY,8,14192,56.37
"Trimble County, KY",Trimble,KY,2,8530,23.45
"Union County, KY",Union,KY,8,13544,59.07
"Warren County, KY",Warren,KY,373,137212,271.84
"Washington County, KY",Washington,KY,6,12072,49.7
"Wayne County, KY",Wayne,KY,12,19540,61.41
"Webster County, KY",Webster,KY,3,12813,23.41
"Whitley County, KY",Whitley,KY,84,36939,227.4
"Wolfe County, KY",Wolfe,KY,5,6507,76.84
"Woodford County, KY",Woodford,KY,94,27075,347.18
"Acadia Parish, LA",Acadia,LA,48,57288,83.79
"Allen Parish, LA",Allen,LA,13,22687,57.3
"Ascension Parish, LA",Ascension,LA,143,128369,111.4
"Assumption Parish, LA",Assumption,LA,4,20689,19.33
"Avoyelles Parish, LA",Avoyelles,LA,27,39236,68.81
"Beauregard Parish, LA",Beauregard,LA,41,36584,112.07
"Bienville Parish, LA",Bienville,LA,4,12776,31.31
"Bossier Parish, LA",Bossier,LA,228,129144,176.55
"Caddo Parish, LA",Caddo,LA,2024,233092,868.33
"Calcasieu Parish, LA",Calcasieu,LA,518,205282,252.34
"Caldwell Parish, LA",Caldwell,LA,7,9571,73.14
"Cameron Parish, LA",Cameron,LA,5,5080,98.43
"Catahoula Parish, LA",Catahoula,LA,5,8805,56.79
"Claiborne Parish, LA",Claiborne,LA,9,14038,64.11
"Concordia Parish, LA",Concordia,LA,14,18376,76.19
"De Soto Parish, LA",De Soto,LA,12,26919,44.58
"East Baton Rouge Parish, LA",East Baton Rouge,LA,2061,453301,454.66
"East Carroll Parish, LA",East Carroll,LA,5,7220,69.25
"East Feliciana Parish, LA",East Feliciana,LA,20,19338,103.42
"Evangeline Parish, LA",Evangeline,LA,40,32215,124.17
"Franklin Parish, LA",Franklin,LA,14,19668,71.18
"Grant Parish, LA",Grant,LA,4,22236,17.99
"Iberia Parish, LA",Iberia,LA,107,68975,155.13
"Iberville Parish, LA",Iberville,LA,27,29824,90.53
"Jackson Parish, LA",Jackson,LA,6,14876,40.33
"Jefferson Davis Parish, LA",Jefferson Davis,LA,25,32345,77.29
"Jefferson Parish, LA",Jefferson,LA,2511,433688,578.99
"Lafayette Parish, LA",Lafayette,LA,1096,244205,448.8
"Lafourche Parish, LA",Lafourche,LA,205,97504,210.25
"LaSalle Parish, LA",LaSalle,LA,12,14834,80.9
"Lincoln Parish, LA",Lincoln,LA,97,48152,201.45
"Livingston Parish, LA",Livingston,LA,68,145830,46.63
"Madison Parish, LA",Madison,LA,5,9799,51.03
"Morehouse Parish, LA",Morehouse,LA,21,25025,83.92
"Natchitoches Parish, LA",Natchitoches,LA,58,37026,156.65
"Orleans Parish, LA",Orleans,LA,3990,376971,1058.44
"Ouachita Parish, LA",Ouachita,LA,498,158768,313.67
"Plaquemines Parish, LA",Plaquemines,LA,19,23303,81.53
"Pointe Coupee Parish, LA",Pointe Coupee,LA,16,20356,78.6
"Rapides Parish, LA",Rapides,LA,468,128654,363.77
"Red River Parish, LA",Red River,LA,4,7564,52.88
"Richland Parish, LA",Richland,LA,24,19805,121.18
"Sabine Parish, LA",Sabine,LA,11,22135,49.7
"St. Bernard Parish, LA",St. Bernard,LA,35,44258,79.08
"St. Charles Parish, LA",St. Charles,LA,55,52282,105.2
"St. Helena Parish, LA",St. Helena,LA,5,10912,45.82
"St. James Parish, LA",St. James,LA,18,19742,91.18
"St. John the Baptist Parish, LA",St. John the Baptist,LA,43,42094,102.15
"St. Landry Parish, LA",St. Landry,LA,148,82071,180.33
"St. Martin Parish, LA",St. Martin,LA,30,51540,58.21
"St. Mary Parish, LA",St. Mary,LA,59,48232,122.33
"St. Tammany Parish, LA",St. Tammany,LA,1099,269388,407.96
"Tangipahoa Parish, LA",Tangipahoa,LA,183,135217,135.34
"Tensas Parish, LA",Tensas,LA,4,4043,98.94
"Terrebonne Parish, LA",Terrebonne,LA,240,108708,220.77
"Union Parish, LA",Union,LA,6,21091,28.45
"Vermilion Parish, LA",Vermilion,LA,51,57204,89.15
"Vernon Parish, LA",Vernon,LA,50,48027,104.11
"Washington Parish, LA",Washington,LA,40,45133,88.63
"Webster Parish, LA",Webster,LA,51,36184,140.95
"West Baton Rouge Parish, LA",West Baton Rouge,LA,9,27792,32.38
"West Carroll Parish, LA",West Carroll,LA,6,9594,62.54
"West Feliciana Parish, LA",West Feliciana,LA,19,15494,122.63
"Winn Parish, LA",Winn,LA,11,13488,81.55
"Androscoggin County, ME",Androscoggin,ME,295,111034,265.68
"Aroostook County, ME",Aroostook,ME,212,66859,317.09
"Cumberland County, ME",Cumberland,ME,2224,305231,728.63
"Franklin County, ME",Franklin,ME,72,29687,242.53
"Hancock County, ME",Hancock,ME,197,56192,350.58
"Kennebec County, ME",Kennebec,ME,440,124486,353.45
"Knox County, ME",Knox,ME,173,41084,421.09
"Lincoln County, ME",Lincoln,ME,112,35828,312.6
"Oxford County, ME",Oxford,ME,80,58629,136.45
"Penobscot County, ME",Penobscot,ME,669,152765,437.93
"Piscataquis County, ME",Piscataquis,ME,34,17165,198.08
"Sagadahoc County, ME",Sagadahoc,ME,76,37071,205.01
"Somerset County, ME",Somerset,ME,77,50592,152.2
"Waldo County, ME",Waldo,ME,97,39912,243.03
"Washington County, ME",Washington,ME,59,31121,189.58
"York County, ME",York,ME,386,214591,179.88
"Allegany County, MD",Allegany,MD,187,67729,276.1
"Anne Arundel County, MD",Anne Arundel,MD,1818,590336,307.96
"Baltimore City, MD",Baltimore,MD,7212,576498,1251
"Baltimore County, MD",Baltimore,MD,4122,849316,485.33
"Calvert County, MD",Calvert,MD,182,93928,193.77
"Caroline County, MD",Caroline,MD,19,33386,56.91
"Carroll County, MD",Carroll,MD,279,173873,160.46
"Cecil County, MD",Cecil,MD,132,103905,127.04
"Charles County, MD",Charles,MD,193,168698,114.41
"Dorchester County, MD",Dorchester,MD,50,32489,153.9
"Frederick County, MD",Frederick,MD,644,279835,230.14
"Garrett County, MD",Garrett,MD,47,28702,163.75
"Harford County, MD",Harford,MD,477,262977,181.38
"Howard County, MD",Howard,MD,2763,334529,825.94
"Kent County, MD",Kent,MD,63,19270,326.93
"Montgomery County, MD",Montgomery,MD,10152,1054827,962.43
"Prince George's County, MD",Prince George's,MD,1881,955306,196.9
"Queen Anne's County, MD",Queen Anne's,MD,65,50798,127.96
"Somerset County, MD",Somerset,MD,18,24584,73.22
"St. Mary's County, MD",St. Mary's,MD,147,114468,128.42
"Talbot County, MD",Talbot,MD,233,37626,619.25
"Washington County, MD",Washington,MD,348,154937,224.61
"Wicomico County, MD",Wicomico,MD,328,103980,315.45
"Worcester County, MD",Worcester,MD,124,53132,233.38
"Barnstable County, MA",Barnstable,MA,936,232411,402.73
"Berkshire County, MA",Berkshire,MA,684,128657,531.65
"Bristol County, MA",Bristol,MA,1097,580164,189.08
"Dukes County, MA",Dukes,MA,77,21097,364.98
"Essex County, MA",Essex,MA,2375,807074,294.27
"Franklin County, MA",Franklin,MA,152,71015,214.04
"Hampden County, MA",Hampden,MA,1601,462718,346
"Hampshire County, MA",Hampshire,MA,802,161572,496.37
"Middlesex County, MA",Middlesex,MA,11156,1614742,690.88
"Nantucket County, MA",Nantucket,MA,27,14491,186.32
"Norfolk County, MA",Norfolk,MA,5033,724505,694.68
"Plymouth County, MA",Plymouth,MA,1209,533003,226.83
"Suffolk County, MA",Suffolk,MA,14039,771245,1820.3
"Worcester County, MA",Worcester,MA,3564,862029,413.44
"Alcona County, MI",Alcona,MI,5,10235,48.85
"Alger County, MI",Alger,MI,10,8821,113.37
"Allegan County, MI",Allegan,MI,88,120950,72.76
"Alpena County, MI",Alpena,MI,70,28893,242.27
"Antrim County, MI",Antrim,MI,21,23813,88.19
"Arenac County, MI",Arenac,MI,8,14975,53.42
"Baraga County, MI",Baraga,MI,8,8215,97.38
"Barry County, MI",Barry,MI,55,62992,87.31
"Bay County, MI",Bay,MI,163,102985,158.28
"Benzie County, MI",Benzie,MI,39,18223,214.02
"Berrien County, MI",Berrien,MI,410,153101,267.8
"Branch County, MI",Branch,MI,40,44985,88.92
"Calhoun County, MI",Calhoun,MI,239,133819,178.6
"Cass County, MI",Cass,MI,36,51483,69.93
"Charlevoix County, MI",Charlevoix,MI,70,26086,268.34
"Cheboygan County, MI",Cheboygan,MI,22,25752,85.43
"Chippewa County, MI",Chippewa,MI,51,36816,138.53
"Clare County, MI",Clare,MI,17,31065,54.72
"Clinton County, MI",Clinton,MI,56,79426,70.51
"Crawford County, MI",Crawford,MI,13,13204,98.46
"Delta County, MI",Delta,MI,59,36826,160.21
"Dickinson County, MI",Dickinson,MI,68,25787,263.7
"Eaton County, MI",Eaton,MI,88,108944,80.78
"Emmet County, MI",Emmet,MI,215,34225,628.2
"Genesee County, MI",Genesee,MI,1072,404208,265.21
"Gladwin County, MI",Gladwin,MI,10,25485,39.24
"Gogebic County, MI",Gogebic,MI,21,14361,146.23
"Grand Traverse County, MI",Grand Traverse,MI,527,95860,549.76
"Gratiot County, MI",Gratiot,MI,60,41544,144.43
"Hillsdale County, MI",Hillsdale,MI,27,45546,59.28
"Houghton County, MI",Houghton,MI,74,37313,198.32
"Huron County, MI",Huron,MI,37,31252,118.39
"Ingham County, MI",Ingham,MI,1060,284034,373.19
"Ionia County, MI",Ionia,MI,26,67197,38.69
"Iosco County, MI",Iosco,MI,28,25369,110.37
"Iron County, MI",Iron,MI,17,11635,146.11
"Isabella County, MI",Isabella,MI,107,64813,165.09
"Jackson County, MI",Jackson,MI,286,160050,178.69
"Kalamazoo County, MI",Kalamazoo,MI,1230,261108,471.07
"Kalkaska County, MI",Kalkaska,MI,10,17979,55.62
"Kent County, MI",Kent,MI,2795,658046,424.74
"Keweenaw County, MI",Keweenaw,MI,3,2107,142.38
"Lake County, MI",Lake,MI,2,12308,16.25
"Lapeer County, MI",Lapeer,MI,58,88513,65.53
"Leelanau County, MI",Leelanau,MI,59,22623,260.8
"Lenawee County, MI",Lenawee,MI,87,98956,87.92
"Livingston County, MI",Livingston,MI,259,195014,132.81
"Luce County, MI",Luce,MI,8,5309,150.69
"Mackinac County, MI",Mackinac,MI,14,10906,128.37
"Macomb County, MI",Macomb,MI,1427,876792,162.75
"Manistee County, MI",Manistee,MI,25,25350,98.62
"Marquette County, MI",Marquette,MI,300,66103,453.84
"Mason County, MI",Mason,MI,40,29383,136.13
"Mecosta County, MI",Mecosta,MI,45,40031,112.41
"Menominee County, MI",Menominee,MI,13,23299,55.8
"Midland County, MI",Midland,MI,303,83457,363.06
"Missaukee County, MI",Missaukee,MI,6,15130,39.66
"Monroe County, MI",Monroe,MI,171,155274,110.13
"Montcalm County, MI",Montcalm,MI,37,67220,55.04
"Montmorency County, MI",Montmorency,MI,6,9297,64.54
"Muskegon County, MI",Muskegon,MI,277,176511,156.93
"Newaygo County, MI",Newaygo,MI,46,50296,91.46
"Oakland County, MI",Oakland,MI,8343,1270017,656.92
"Oceana County, MI",Oceana,MI,20,26815,74.59
"Ogemaw County, MI",Ogemaw,MI,21,20726,101.32
"Ontonagon County, MI",Ontonagon,MI,4,5868,68.17
"Osceola County, MI",Osceola,MI,8,23105,34.62
"Oscoda County, MI",Oscoda,MI,3,8311,36.1
"Otsego County, MI",Otsego,MI,44,25289,173.99
"Ottawa County, MI",Ottawa,MI,520,299157,173.82
"Presque Isle County, MI",Presque Isle,MI,5,13093,38.19
"Roscommon County, MI",Roscommon,MI,22,23633,93.09
"Saginaw County, MI",Saginaw,MI,722,189591,380.82
"Sanilac County, MI",Sanilac,MI,25,40506,61.72
"Schoolcraft County, MI",Schoolcraft,MI,12,8030,149.44
"Shiawassee County, MI",Shiawassee,MI,60,67877,88.4
"St. Clair County, MI",St. Clair,MI,218,160053,136.2
"St. Joseph County, MI",St. Joseph,MI,41,60758,67.48
"Tuscola County, MI",Tuscola,MI,36,52917,68.03
"Van Buren County, MI",Van Buren,MI,95,75658,125.57
"Washtenaw County, MI",Washtenaw,MI,5627,369390,1523.32
"Wayne County, MI",Wayne,MI,6454,1774816,363.64
"Wexford County, MI",Wexford,MI,65,33901,191.73
"Aitkin County, MN",Aitkin,MN,24,15887,151.07
"Anoka County, MN",Anoka,MN,494,367018,134.6
"Becker County, MN",Becker,MN,81,35219,229.99
"Beltrami County, MN",Beltrami,MN,127,46380,273.82
"Benton County, MN",Benton,MN,31,41459,74.77
"Big Stone County, MN",Big Stone,MN,14,5145,272.11
"Blue Earth County, MN",Blue Earth,MN,232,69280,334.87
"Brown County, MN",Brown,MN,55,25819,213.02
"Carlton County, MN",Carlton,MN,57,36409,156.55
"Carver County, MN",Carver,MN,248,108626,228.31
"Cass County, MN",Cass,MN,22,30639,71.8
"Chippewa County, MN",Chippewa,MN,17,12357,137.57
"Chisago County, MN",Chisago,MN,67,57469,116.58
"Clay County, MN",Clay,MN,44,65574,67.1
"Clearwater County, MN",Clearwater,MN,5,8576,58.3
"Cook County, MN",Cook,MN,14,5617,249.24
"Cottonwood County, MN",Cottonwood,MN,12,11569,103.73
"Crow Wing County, MN",Crow Wing,MN,225,67270,334.47
"Dakota County, MN",Dakota,MN,889,442038,201.11
"Dodge County, MN",Dodge,MN,18,20935,85.98
"Douglas County, MN",Douglas,MN,109,39238,277.79
"Faribault County, MN",Faribault,MN,11,13909,79.09
"Fillmore County, MN",Fillmore,MN,16,21271,75.22
"Freeborn County, MN",Freeborn,MN,46,30749,149.6
"Goodhue County, MN",Goodhue,MN,115,47968,239.74
"Grant County, MN",Grant,MN,6,6153,97.51
"Hennepin County, MN",Hennepin,MN,8397,1267416,662.53
"Houston County, MN",Houston,MN,41,18778,218.34
"Hubbard County, MN",Hubbard,MN,29,21715,133.55
"Isanti County, MN",Isanti,MN,56,41906,133.63
"Itasca County, MN",Itasca,MN,104,45070,230.75
"Jackson County, MN",Jackson,MN,1,9990,10.01
"Kanabec County, MN",Kanabec,MN,25,16159,154.71
"Kandiyohi County, MN",Kandiyohi,MN,122,43767,278.75
"Kittson County, MN",Kittson,MN,2,4146,48.24
"Koochiching County, MN",Koochiching,MN,20,11941,167.49
"Lac qui Parle County, MN",Lac qui Parle,MN,10,6684,149.61
"Lake County, MN",Lake,MN,21,10986,191.15
"Lake of the Woods County, MN",Lake of the Woods,MN,1,3823,26.16
"Le Sueur County, MN",Le Sueur,MN,12,28841,41.61
"Lincoln County, MN",Lincoln,MN,6,5567,107.78
"Lyon County, MN",Lyon,MN,41,25231,162.5
"Mahnomen County, MN",Mahnomen,MN,1,5414,18.47
"Marshall County, MN",Marshall,MN,1,8988,11.13
"Martin County, MN",Martin,MN,37,19915,185.79
"McLeod County, MN",McLeod,MN,54,36735,147
"Meeker County, MN",Meeker,MN,18,23376,77
"Mille Lacs County, MN",Mille Lacs,MN,38,26867,141.44
"Morrison County, MN",Morrison,MN,38,33992,111.79
"Mower County, MN",Mower,MN,47,40158,117.04
"Murray County, MN",Murray,MN,9,8144,110.51
"Nicollet County, MN",Nicollet,MN,64,34332,186.42
"Nobles County, MN",Nobles,MN,29,21991,131.87
"Norman County, MN",Norman,MN,2,6416,31.17
"Olmsted County, MN",Olmsted,MN,4710,163436,2881.86
"Otter Tail County, MN",Otter Tail,MN,108,60046,179.86
"Pennington County, MN",Pennington,MN,23,13780,166.91
"Pine County, MN",Pine,MN,15,29302,51.19
"Pipestone County, MN",Pipestone,MN,5,9313,53.69
"Polk County, MN",Polk,MN,39,30757,126.8
"Pope County, MN",Pope,MN,17,11403,149.08
"Ramsey County, MN",Ramsey,MN,2515,543257,462.95
"Red Lake County, MN",Red Lake,MN,1,3933,25.43
"Redwood County, MN",Redwood,MN,9,15366,58.57
"Renville County, MN",Renville,MN,9,14608,61.61
"Rice County, MN",Rice,MN,127,67262,188.81
"Rock County, MN",Rock,MN,13,9680,134.3
"Roseau County, MN",Roseau,MN,13,15258,85.2
"Scott County, MN",Scott,MN,174,153268,113.53
"Sherburne County, MN",Sherburne,MN,75,99074,75.7
"Sibley County, MN",Sibley,MN,5,14917,33.52
"St. Louis County, MN",St. Louis,MN,966,199182,484.98
"Stearns County, MN",Stearns,MN,534,158947,335.96
"Steele County, MN",Steele,MN,60,37349,160.65
"Stevens County, MN",Stevens,MN,15,9700,154.64
"Swift County, MN",Swift,MN,7,9749,71.8
"Todd County, MN",Todd,MN,39,25237,154.54
"Traverse County, MN",Traverse,MN,2,3286,60.86
"Wabasha County, MN",Wabasha,MN,38,21509,176.67
"Wadena County, MN",Wadena,MN,15,14177,105.81
"Waseca County, MN",Waseca,MN,7,19000,36.84
"Washington County, MN",Washington,MN,885,272256,325.06
"Watonwan County, MN",Watonwan,MN,6,11135,53.88
"Wilkin County, MN",Wilkin,MN,5,6395,78.19
"Winona County, MN",Winona,MN,77,49630,155.15
"Wright County, MN",Wright,MN,132,144845,91.13
"Yellow Medicine County, MN",Yellow Medicine,MN,10,9411,106.26
"Adams County, MS",Adams,MS,68,28742,236.59
"Alcorn County, MS",Alcorn,MS,83,34349,241.64
"Amite County, MS",Amite,MS,8,12637,63.31
"Attala County, MS",Attala,MS,18,17742,101.45
"Benton County, MS",Benton,MS,2,7646,26.16
"Bolivar County, MS",Bolivar,MS,36,30308,118.78
"Calhoun County, MS",Calhoun,MS,2,13018,15.36
"Carroll County, MS",Carroll,MS,9,9879,91.1
"Chickasaw County, MS",Chickasaw,MS,10,17011,58.79
"Choctaw County, MS",Choctaw,MS,4,8106,49.35
"Claiborne County, MS",Claiborne,MS,8,8908,89.81
"Clarke County, MS",Clarke,MS,7,15421,45.39
"Clay County, MS",Clay,MS,19,18535,102.51
"Coahoma County, MS",Coahoma,MS,36,20810,172.99
"Copiah County, MS",Copiah,MS,17,27995,60.73
"Covington County, MS",Covington,MS,13,18279,71.12
"DeSoto County, MS",DeSoto,MS,176,188633,93.3
"Forrest County, MS",Forrest,MS,236,77875,303.05
"Franklin County, MS",Franklin,MS,5,7676,65.14
"George County, MS",George,MS,20,24762,80.77
"Greene County, MS",Greene,MS,3,13630,22.01
"Grenada County, MS",Grenada,MS,35,21365,163.82
"Hancock County, MS",Hancock,MS,62,46055,134.62
"Harrison County, MS",Harrison,MS,538,209396,256.93
"Hinds County, MS",Hinds,MS,1758,222679,789.48
"Holmes County, MS",Holmes,MS,15,16496,90.93
"Humphreys County, MS",Humphreys,MS,7,7551,92.7
"Issaquena County, MS",Issaquena,MS,0,1280,0
"Itawamba County, MS",Itawamba,MS,12,23838,50.34
"Jackson County, MS",Jackson,MS,325,143987,225.71
"Jasper County, MS",Jasper,MS,4,16291,24.55
"Jefferson County, MS",Jefferson,MS,5,7205,69.4
"Jefferson Davis County, MS",Jefferson Davis,MS,5,11134,44.91
"Jones County, MS",Jones,MS,113,66744,169.3
"Kemper County, MS",Kemper,MS,2,8829,22.65
"Lafayette County, MS",Lafayette,MS,186,56884,326.98
"Lamar County, MS",Lamar,MS,356,65353,544.73
"Lauderdale County, MS",Lauderdale,MS,263,72088,364.83
"Lawrence County, MS",Lawrence,MS,7,11812,59.26
"Leake County, MS",Leake,MS,14,21196,66.05
"Lee County, MS",Lee,MS,389,82883,469.34
"Leflore County, MS",Leflore,MS,64,27557,232.25
"Lincoln County, MS",Lincoln,MS,52,34943,148.81
"Lowndes County, MS",Lowndes,MS,128,58150,220.12
"Madison County, MS",Madison,MS,812,109813,739.44
"Marion County, MS",Marion,MS,17,24378,69.74
"Marshall County, MS",Marshall,MS,8,33725,23.72
"Monroe County, MS",Monroe,MS,39,33883,115.1
"Montgomery County, MS",Montgomery,MS,7,9729,71.95
"Neshoba County, MS",Neshoba,MS,31,28993,106.92
"Newton County, MS",Newton,MS,5,21056,23.75
"Noxubee County, MS",Noxubee,MS,5,10123,49.39
"Oktibbeha County, MS",Oktibbeha,MS,70,51842,135.03
"Panola County, MS",Panola,MS,19,32851,57.84
"Pearl River County, MS",Pearl River,MS,41,56503,72.56
"Perry County, MS",Perry,MS,5,11571,43.21
"Pike County, MS",Pike,MS,62,39973,155.1
"Pontotoc County, MS",Pontotoc,MS,12,31445,38.16
"Prentiss County, MS",Prentiss,MS,26,24996,104.02
"Quitman County, MS",Quitman,MS,4,5935,67.4
"Rankin County, MS",Rankin,MS,521,158096,329.55
"Scott County, MS",Scott,MS,12,27598,43.48
"Sharkey County, MS",Sharkey,MS,2,3663,54.6
"Simpson County, MS",Simpson,MS,12,25750,46.6
"Smith County, MS",Smith,MS,4,14191,28.19
"Stone County, MS",Stone,MS,12,18644,64.36
"Sunflower County, MS",Sunflower,MS,18,25402,70.86
"Tallahatchie County, MS",Tallahatchie,MS,5,12366,40.43
"Tate County, MS",Tate,MS,11,28234,38.96
"Tippah County, MS",Tippah,MS,9,21635,41.6
"Tishomingo County, MS",Tishomingo,MS,10,18750,53.33
"Tunica County, MS",Tunica,MS,4,9696,41.25
"Union County, MS",Union,MS,30,27953,107.32
"Walthall County, MS",Walthall,MS,7,13836,50.59
"Warren County, MS",Warren,MS,94,43579,215.7
"Washington County, MS",Washington,MS,73,43687,167.1
"Wayne County, MS",Wayne,MS,8,19709,40.59
"Webster County, MS",Webster,MS,5,9983,50.09
"Wilkinson County, MS",Wilkinson,MS,5,8315,60.13
"Winston County, MS",Winston,MS,10,17596,56.83
"Yalobusha County, MS",Yalobusha,MS,5,12415,40.27
"Yazoo County, MS",Yazoo,MS,19,26373,72.04
"Adair County, MO",Adair,MO,14,25185,55.59
"Andrew County, MO",Andrew,MO,4,18002,22.22
"Atchison County, MO",Atchison,MO,3,5234,57.32
"Audrain County, MO",Audrain,MO,35,24982,140.1
"Barry County, MO",Barry,MO,30,34712,86.43
"Barton County, MO",Barton,MO,8,11658,68.62
"Bates County, MO",Bates,MO,5,16105,31.05
"Benton County, MO",Benton,MO,5,19908,25.12
"Bollinger County, MO",Bollinger,MO,2,10556,18.95
"Boone County, MO",Boone,MO,1762,185840,948.13
"Buchanan County, MO",Buchanan,MO,191,83853,227.78
"Butler County, MO",Butler,MO,121,42101,287.4
"Caldwell County, MO",Caldwell,MO,1,8897,11.24
"Callaway County, MO",Callaway,MO,35,44638,78.41
"Camden County, MO",Camden,MO,67,43436,154.25
"Cape Girardeau County, MO",Cape Girardeau,MO,339,82113,412.85
"Carroll County, MO",Carroll,MO,3,8376,35.82
"Carter County, MO",Carter,MO,2,5320,37.59
"Cass County, MO",Cass,MO,67,109638,61.11
"Cedar County, MO",Cedar,MO,8,14496,55.19
"Chariton County, MO",Chariton,MO,1,7356,13.59
"Christian County, MO",Christian,MO,121,91499,132.24
"Clark County, MO",Clark,MO,0,6736,0
"Clay County, MO",Clay,MO,452,255518,176.9
"Clinton County, MO",Clinton,MO,17,21287,79.86
"Cole County, MO",Cole,MO,173,77205,224.08
"Cooper County, MO",Cooper,MO,9,17115,52.59
"Crawford County, MO",Crawford,MO,4,22807,17.54
"Dade County, MO",Dade,MO,4,7599,52.64
"Dallas County, MO",Dallas,MO,0,17341,0
