County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone	 not Hispanic or Latino"
Colfax County,NM,27.4,17.9,4.6,2.9,0.8,0.9,49.2,0.2,2.1,93.1,46.9
Colleton County,SC,20.7,22.5,6.1,0.9,0.5,37.1,3.3,0.1,1.8,59.7,57.2
Collier County,FL,32.9,16.8,4.3,0.5,1.6,7.3,28.6,0.1,1.2,89.3,62.2
Collin County,TX,11.3,25.6,6.1,0.7,16.3,10.9,15.5,0.1,2.8,69.3,55.1
Collingsworth County,TX,19,25,5.7,3.2,0.5,6.4,34,-1,2,87.9,57.5
Colonial Heights city,VA,20.4,22.8,6.1,0.3,4.2,15.3,5.9,0.1,3.1,75.5,72.3
Colorado County,TX,22.6,23,6.2,1.1,0.7,12.5,30.7,0.1,1.9,83.7,55.7
Colquitt County,GA,16.1,25.6,6.6,1.2,0.9,23.8,19.6,0.2,1.3,72.7,55.4
Columbia County,AR,17.7,20.6,5.7,0.6,0.9,35.6,2.8,0,1.3,61.4,59.5
Columbia County,FL,19.3,21.5,5.8,0.6,1,18.7,6.7,0.1,1.9,77.7,71.8
Columbia County,GA,14,25.1,6.3,0.4,4.3,18.8,7.1,0.2,3.3,73,67.4
Columbia County,NY,24.4,17,4.2,0.3,2,5.3,5,0.1,2.3,90,86.1
Columbia County,OR,19.2,20.8,5.3,1.5,1.1,0.8,5.6,0.2,3.9,92.4,87.8
Columbia County,PA,20.1,17.5,4.3,0.3,1.2,2,3,0.1,1.2,95.3,93
Columbia County,WA,28.5,18,4.7,1.8,1.4,0.7,7.9,2,3,91.1,84.4
Columbia County,WI,18.4,21,5.4,0.8,0.8,1.7,3.7,0.1,1.3,95.3,92.3
Columbiana County,OH,21.2,20.2,5.2,0.2,0.3,2.5,1.9,0,1.7,95.2,93.7
Columbus County,NC,20.6,20.7,5.2,3.8,0.5,30.6,5.6,0.1,1.9,63.1,59.1
Colusa County,CA,14.9,27.1,6.9,2.8,1.6,1.3,60.4,0.6,2.7,91.1,34.1
Comal County,TX,18.3,22.5,5.7,0.9,1.4,2.7,28.1,0.1,2,92.9,66.5
Comanche County,KS,25.5,23.7,5.4,1.1,0.5,0.5,7.9,0.2,1.9,95.8,88.9
Comanche County,OK,12.9,23.5,6.9,6.7,2.8,17.3,13.5,0.7,6.8,65.7,55.9
Comanche County,TX,24.4,22.1,5.8,1.3,0.7,1.1,28.6,0.1,1.5,95.4,68.7
Concho County,TX,25.3,18.2,4.8,0.9,1.8,2.2,34.7,0,1.3,93.7,60.5
Concordia Parish,LA,17.8,23.7,6.5,0.5,0.4,39.8,1.7,0,1,58.3,56.9
Conecuh County,AL,23.5,20.5,5.3,0.6,0.2,46.1,2.3,0,1.4,51.8,50.4
Conejos County,CO,19.9,25.2,6.1,4,0.9,1,51.3,0.2,2.3,91.6,45.7
Contra Costa County,CA,16.3,22.4,5.6,1,18.3,9.5,26,0.6,5.4,65.1,42.7
Converse County,WY,17.2,24.4,6.3,1.2,0.5,0.7,8.4,0.1,1.8,95.7,88.4
Conway County,AR,19.7,22.6,6,0.9,0.4,11.4,4,0,2.5,84.8,81.4
Cook County,GA,16.8,25,6.5,0.4,0.7,27.9,6,0.1,1.5,69.4,64.2
Cook County,IL,15.1,21.6,6,0.7,7.9,23.8,25.6,0.1,2,65.4,42
Cook County,MN,29.3,15.1,4.1,8.6,1,1.4,2.4,0,2.9,86.1,84.6
Cooke County,TX,18.9,23.6,6.7,1.4,1,3.6,18.9,0.1,2,92,74.4
Cooper County,MO,18.3,21.6,5.7,0.6,0.7,7,2.1,0.1,2.6,89.1,87.7
Coos County,NH,24.2,16.1,4,0.5,0.6,0.9,1.9,0,1.5,96.4,94.8
Coos County,OR,26.5,18.3,4.8,3,1.3,0.6,6.8,0.3,4.4,90.4,84.9
Coosa County,AL,24.1,16.4,4.3,0.6,0.2,30.9,2.6,0.2,1.4,66.8,65.1
Copiah County,MS,18.3,22.7,5.9,0.3,0.4,51.9,3.3,0,1.1,46.3,43.9
Corson County,SD,12,36.6,10.4,65.4,0.6,0.5,5.3,0,3.3,30.2,29
Cortland County,NY,16.9,19.2,5.2,0.4,1.1,2.1,2.8,0,2,94.5,92.3
Coryell County,TX,10.6,22.6,6.7,1.2,2.2,17.7,18.9,1,4.5,73.5,57.6
Coshocton County,OH,19.8,23.9,6.5,0.3,0.4,1.2,1.2,0,1.6,96.5,95.6
Costilla County,CO,26.9,19.1,4.8,5.3,1.6,2.1,61.2,0.2,2.9,87.9,33.9
Cottle County,TX,24.2,23,5.7,0.5,0.1,11.2,24.2,0.1,2.1,86.1,63.8
Cotton County,OK,20.5,22.1,5.5,10,0.3,2.4,8.4,0.3,6.2,80.8,75.7
Cottonwood County,MN,23.1,24.6,6.6,0.9,4.1,1.3,8.4,0.4,2,91.3,84.7
Covington County,AL,21.4,22,5.9,0.8,0.5,12.5,1.9,0,1.7,84.5,83.1
Covington County,MS,17.2,24.5,6.4,0.2,0.4,36.1,2.4,0,1.2,62,60.3
Covington city,VA,20.2,20.5,5.9,0,1.2,13.1,2.4,0.2,3.5,82.1,81
Coweta County,GA,14.3,24.1,5.9,0.4,2.2,18.4,7.3,0.1,2,76.8,70.5
Cowley County,KS,18.8,23.4,6,2.3,1.9,2.8,11.2,0.5,3.6,88.9,79.2
Cowlitz County,WA,19.3,22.8,6.1,2.1,1.6,1.1,9.3,0.4,3.7,91.1,83.2
Craig County,OK,20.1,21.4,5.1,21.5,0.7,3.2,4,0.1,9.4,65.1,62.5
Craig County,VA,24.1,17.5,4.1,0.4,0.2,0.4,1.6,-1,0.9,98.1,96.8
Craighead County,AR,14,25,7,0.5,1.3,16.8,5.3,0.1,1.9,79.5,74.9
Crane County,TX,12.4,28.9,7.3,1.5,1,3.7,66.1,0.1,1.5,92.2,29.3
Craven County,NC,19.7,21.3,6.2,0.7,2.9,21.4,7.6,0.2,3,71.8,65.6
Crawford County,AR,17.2,24.3,6.4,2.6,1.5,1.7,8.1,0.1,3.3,90.7,83.6
Crawford County,GA,19.4,20.2,4.6,0.7,1.3,20.8,3.6,0.1,1.4,75.7,72.8
Crawford County,IA,17.9,25.1,6.7,1.3,2.5,3.6,28.9,0.3,1,91.4,64.6
Crawford County,IL,19.4,19.8,5.4,0.4,0.7,5.2,2.3,0,1.2,92.5,90.5
Crawford County,IN,20.1,21.7,5.6,0.5,0.2,0.7,1.6,0.1,1.4,97.1,96
Crawford County,KS,15.8,21.8,6,1.2,1.9,2.4,6.1,0.4,2.7,91.4,86
Crawford County,MI,25.8,18.1,5,0.8,0.8,0.9,2.2,0,1.5,96,94.1
Crawford County,MO,20.1,22.5,5.7,0.7,0.3,0.5,2.1,0.1,1.6,96.8,95
Crawford County,OH,21.4,21.6,5.7,0.3,0.6,1.1,1.8,0.1,1.3,96.6,95
Crawford County,PA,21.2,20.4,5.5,0.2,0.6,2,1.4,0,1.3,95.8,94.6
Crawford County,WI,24,20,4.8,0.4,0.6,2.2,1.8,0,1.2,95.5,94
Creek County,OK,18.2,23.4,6,10.8,0.7,2.3,4.6,0.1,7.2,78.9,75.4
Crenshaw County,AL,19.4,22.8,5.7,0.7,1.1,23.9,2.4,0,2.1,72.2,70.3
Crisp County,GA,19.3,23.9,6.3,0.3,1.3,44.8,3.8,0.1,1.4,52.2,49.2
Crittenden County,AR,14.5,27.1,7.7,0.4,0.6,54.5,2.8,0.1,1.4,43,40.9
Crittenden County,KY,21.3,22,5.4,0.4,0.2,1.1,1.2,0.1,1.2,97,96
Crockett County,TN,19.2,23.3,5.8,0.8,0.4,14.1,11,0,2.1,82.7,73.5
Crockett County,TX,17.7,24.8,5.9,2.4,1,1.6,66,0.1,1.3,93.6,31.3
Crook County,OR,25.2,19.8,5.6,1.7,0.7,0.5,7.6,0.1,2.3,94.7,88
Crook County,WY,21.1,24.7,7.3,1,0.2,1.4,2.5,0,1.1,96.2,94
Crosby County,TX,18.9,26.1,6.2,1.1,0.3,4,56.6,0.1,1.9,92.5,38.9
Cross County,AR,19.3,23.2,6.1,0.4,0.8,23.2,2,0,1.6,74,72.3
Crow Wing County,MN,23,21.3,5.4,1,0.5,0.9,1.5,0,1.7,95.9,94.7
Crowley County,CO,14,11.4,2.4,3.4,1.2,10.7,32.8,0,2.2,82.5,52.6
Culberson County,TX,22.1,22.4,6.6,2.5,2.1,1.8,72.9,0,2.9,90.6,21.7
Cullman County,AL,18.8,22.5,6.2,0.6,0.7,1.4,4.5,0.1,1.4,95.7,91.7
Culpeper County,VA,16,24.7,6.5,0.8,1.7,14.6,11.6,0.2,3.3,79.4,69.8
Cumberland County,IL,20.4,22.2,5.8,0.2,0.6,0.5,1.1,0.1,1,97.5,96.6
Cumberland County,KY,22.8,21,5.7,0.2,0.2,2.9,1.5,-1,2,94.7,93.4
Cumberland County,ME,19,18.3,4.7,0.4,2.4,3.2,2.2,0,2,92,90.1
Cumberland County,NC,12.2,24.7,7.5,1.9,2.7,39.1,12.1,0.4,4.8,51.1,42.4
Cumberland County,NJ,15.6,23.7,6.1,1.6,1.4,21.9,31.8,0.2,3.1,71.7,45.4
