County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone	 not Hispanic or Latino"
Lafayette County,FL,17.3,19.9,4,0.8,0.3,12.7,13.9,0.1,1.6,84.5,71.8
Lafayette County,MO,18.9,23,5.9,0.6,0.5,2.2,3.1,0.2,2.3,94.2,91.7
Lafayette County,MS,13.3,18.5,5.1,0.3,2.2,23.7,2.7,0.1,1.3,72.4,70.2
Lafayette County,WI,19.4,23.9,6.2,0.6,0.5,0.5,4.3,0,0.9,97.5,93.7
Lafayette Parish,LA,13.8,23.6,6.7,0.4,2,26.9,4.6,0,1.6,69.1,65.2
Lafourche Parish,LA,16,23,6.3,3,0.9,13.5,4.4,0.1,2,80.5,76.8
Lake County,CA,23.1,21.2,5.9,4.5,1.4,2.1,22,0.3,4.7,87,68.9
Lake County,CO,14.6,19.8,5.6,2.6,0.8,1,35.4,0,2.4,93.2,61
Lake County,FL,27.1,18.9,4.8,0.6,2.3,11.5,16.7,0.2,2.1,83.4,68.7
Lake County,IL,14.8,23.9,5.7,0.9,8.4,7.5,22.4,0.1,2.2,80.9,60.6
Lake County,IN,16.9,23.2,5.9,0.6,1.7,24.4,19.6,0.1,2,71.3,53.8
Lake County,MI,29.8,16.5,4.7,0.9,0.3,8,2.5,0,3,87.9,86
Lake County,MN,26.8,19.1,4.8,0.7,0.6,0.6,1.4,0,1.4,96.6,95.3
Lake County,MT,22.7,23.3,5.8,24.6,0.5,0.5,4.8,0.1,7,67.2,65
Lake County,OH,20.6,19.7,4.9,0.2,1.5,4.8,4.7,0,1.8,91.6,87.6
Lake County,OR,25.5,19.1,4.9,2.6,1.3,0.7,8.6,0.2,4,91.2,84
Lake County,SD,23.7,20.1,5.5,1.4,0.9,1.3,2.7,0.1,1.7,94.7,92.6
Lake County,TN,16.7,14.3,4.1,0.5,0.2,28,2.6,0,2,69.3,67.2
Lake and Peninsula Borough,AK,11.5,28.6,9.9,61.7,3.1,1.3,3.5,0.3,10,23.7,22.3
Lake of the Woods County,MN,25.4,18.6,4.8,0.9,1.7,0.7,1.7,-1,2.6,94.1,92.5
Lamar County,AL,22.2,21.4,5.7,0.3,0.1,10.3,1.9,0,1.7,87.5,86
Lamar County,GA,17.4,20.8,5.8,0.4,0.8,29.8,2.6,0,1.8,67.3,65.2
Lamar County,MS,14.4,24.7,6.5,0.3,1.5,21,2.9,0.1,1.4,75.7,73.3
Lamar County,TX,19.5,23.6,6.5,1.9,0.8,13.5,8.4,0,3,80.7,73.5
Lamb County,TX,17.4,27.5,7,1.7,0.5,4.6,56.1,0.1,1.8,91.2,38.9
Lamoille County,VT,17.9,20.2,5.1,0.4,0.7,1.2,1.8,0,1.8,95.9,94.3
Lampasas County,TX,20.2,21.6,5.2,1.2,1.4,4.2,19.4,0.5,2.8,89.8,72.4
Lancaster County,NE,14.4,22.6,6.2,1,4.8,4.3,7.4,0.1,3,86.8,80.6
Lancaster County,PA,18.4,23.4,6.5,0.4,2.5,5.2,11,0.1,2.1,89.7,81.3
Lancaster County,SC,21.4,21.5,5.9,0.3,1.6,21.4,5.9,0,1.6,75.1,70
Lancaster County,VA,36.7,15.5,4,0.4,0.8,28.4,2.5,0,1.5,69,67.1
Lander County,NV,16,26.2,7.5,5.9,1.2,1,23.2,0,2.9,89.1,69.1
Lane County,KS,23.5,22,5.7,1.3,0.3,1.2,8.9,0.1,3.1,94,86.6
Lane County,OR,19.9,18.2,4.8,1.6,3.2,1.3,9.3,0.3,4.6,89,81.3
Langlade County,WI,24.7,19.5,4.9,1.4,0.5,1.2,2.1,0,1.7,95.2,93.6
Lanier County,GA,14.1,23.9,6.5,1.2,1.2,22,6.4,0,2.7,72.9,68.1
Lapeer County,MI,18.9,20.3,4.7,0.5,0.7,1.2,4.7,0,1.5,96.1,91.7
Laramie County,WY,16.5,23,6.3,1.1,1.4,2.5,14.9,0.2,3,91.9,78.6
Larimer County,CO,16.2,19.4,4.9,1.1,2.4,1.2,11.9,0.1,2.7,92.6,82.1
Larue County,KY,17.9,22.7,5.7,0.3,0.3,3.1,3.2,0.2,1.8,94.3,91.4
Las Animas County,CO,25.4,17.9,4.6,3.8,1.3,2.2,40.4,0.1,2.5,90,54
Lassen County,CA,15.5,17.3,4.8,4.3,1.6,8.4,19.3,0.9,4,80.9,64.7
Latah County,ID,14.1,18.4,5.3,0.9,2.4,1.1,4.5,0.2,3.1,92.3,88.5
Latimer County,OK,22.1,21.8,6.1,23.6,0.6,1.3,4.2,0,9,65.4,63.3
Lauderdale County,AL,20.5,19.5,5.1,0.4,0.8,10,2.9,0.1,1.7,87,84.6
Lauderdale County,MS,17.8,23.3,6.3,0.3,0.8,44.2,2.3,0,1.1,53.6,52
Lauderdale County,TN,16.3,22.1,5.8,0.8,0.6,35.1,2.7,0,1.7,61.9,60
Laurel County,KY,16.7,23.1,6.2,0.4,0.6,0.8,1.6,0,1.2,97,95.6
Laurens County,GA,18.1,24.5,6.6,0.4,1.2,37.5,2.9,0,1.3,59.6,57.4
Laurens County,SC,18.8,21.9,5.9,0.4,0.6,25.2,5.3,0.1,1.6,72,67.7
Lavaca County,TX,23.7,23.3,5.8,0.7,0.5,6.5,19.6,0.1,1.4,90.8,72.8
Lawrence County,AL,19.1,21.5,5.6,5.8,0.2,10.9,2.4,0,4.9,78.2,76.3
Lawrence County,AR,19.9,22.2,6.1,0.6,0.3,1.2,1.8,0,1.3,96.5,94.8
Lawrence County,IL,17.9,18.9,5,0.5,0.5,10.3,4,0,1.1,87.6,84.4
Lawrence County,IN,20.6,21.3,5.5,0.4,0.7,0.5,1.7,0,1.3,97,95.6
Lawrence County,KY,18,23.7,6.5,0.2,0.3,0.4,1.4,0.1,1.7,97.4,96.4
Lawrence County,MO,18.4,25.3,6.8,1.2,0.6,0.7,7.9,0.1,2.1,95.4,88.4
Lawrence County,MS,18.2,24.7,6.2,0.3,0.4,32.4,2.2,0,0.9,66,64.4
Lawrence County,OH,19.1,21.6,5.5,0.2,0.5,2.1,1,0,1.6,95.5,94.7
Lawrence County,PA,22.5,19.9,5.3,0.2,0.5,4.4,1.6,0,2.1,92.9,91.6
Lawrence County,SD,22.9,17.5,4.2,2.3,1.2,0.8,3.5,0.1,2.2,93.4,90.6
Lawrence County,TN,17.9,24.9,6.7,0.5,0.5,1.8,2.4,0,1.7,95.4,93.3
Le Flore County,OK,18.3,23.9,6.1,14.1,0.7,2,7.2,0.2,6.1,76.8,71
Le Sueur County,MN,17.7,23.9,6.2,0.5,0.7,0.9,6.8,0,1.2,96.6,90.3
Lea County,NM,11.4,29.7,8,2,0.7,4.3,60.1,0.1,1.6,91.3,34.3
Leake County,MS,16.7,25.5,6.4,6.8,0.5,42.1,4.8,0,1.1,49.4,46.6
Leavenworth County,KS,15,23.4,6.4,0.9,1.5,9.3,7.3,0.2,3.3,84.8,78.7
Lebanon County,PA,19.9,22.7,5.8,0.4,1.5,3.7,14.1,0.1,1.7,92.6,81
Lee County,AL,12.4,21.1,5.8,0.4,4.2,22.9,3.7,0.1,1.7,70.7,67.7
Lee County,AR,20.2,18.4,5.2,0.6,0.6,54.4,2.3,0,1.4,43.1,41.3
Lee County,FL,29.2,17.3,4.6,0.5,1.8,9.1,22.5,0.1,1.7,86.8,66.2
Lee County,GA,13,26.2,6.3,0.3,2.6,23.2,3.2,0.1,1.4,72.3,69.7
Lee County,IA,21,21.2,5.8,0.3,0.6,3.1,3.7,0,2.1,93.8,90.6
Lee County,IL,20.2,19.6,5,0.4,0.8,5.6,6.6,0,1.5,91.7,85.9
Lee County,KY,17.2,18.5,5.3,0.5,0.2,2.8,1.4,-1,1.1,95.4,94.2
Lee County,MS,15.2,24.9,6.7,0.3,1,30.6,2.7,0,1.3,66.8,64.6
Lee County,NC,16.8,23.7,6.3,1.3,1.4,20,19.6,0.2,2.4,74.7,57.8
Lee County,SC,19.7,19.8,5,0.4,0.5,63.4,2.5,0,1.2,34.5,32.8
Lee County,TX,18.7,21.7,6,1.1,0.6,10.8,24.5,0.2,1.7,85.5,62.8
Lee County,VA,22.2,18.5,4.5,0.4,0.3,3.7,2,0,1,94.5,92.9
Leelanau County,MI,32,16.1,4.1,3.6,0.6,0.8,4.5,0.1,2,93,89.9
Leflore County,MS,14.7,27.7,7.8,0.5,0.6,75,2.8,0,0.8,23.1,21.6
Lehigh County,PA,17.1,22.5,5.9,1,3.8,9.9,26.2,0.2,2.7,82.4,62.5
Lemhi County,ID,30.6,18.6,4.9,1.3,0.4,0.4,3.5,0,2.2,95.7,93.1
Lenawee County,MI,19.4,20.8,5.3,0.6,0.5,3,8.2,0,2.2,93.7,86.5
Lenoir County,NC,20.2,22.4,5.6,0.6,0.7,41.4,7.9,0.2,1.6,55.4,48.9
Leon County,FL,13.9,18.6,5.2,0.3,3.6,32,6.7,0.1,2.4,61.5,55.9
Leon County,TX,24.9,22.4,6.1,0.9,0.7,7.3,15,0,1.4,89.7,75.8
Leslie County,KY,18.7,21.4,5.5,0.2,0.3,0.4,0.8,0.1,1.1,98,97.3
Letcher County,KY,19.9,21.7,5.8,0.2,0.2,0.6,0.8,-1,0.8,98.2,97.4
Levy County,FL,25.1,19.4,5.1,0.7,0.9,9.3,8.8,0.1,2,87,79.2
Lewis County,ID,26.9,21.7,4.6,6.6,1.7,0.6,4.7,0.2,3.4,87.5,83.7
Lewis County,KY,18.5,21.9,5.9,0.3,0.1,0.4,0.8,-1,0.8,98.4,97.7
Lewis County,MO,18.8,22.1,6,0.5,0.4,3.2,1.9,0.1,1.7,94.1,92.5
Lewis County,NY,19,22.8,6.2,0.3,0.4,0.7,1.8,0.1,1.1,97.3,95.9
Lewis County,TN,21.3,21.9,5.7,0.7,0.6,2.1,2.5,0.1,1.5,95,92.9
Lewis County,WA,21.3,21.3,5.9,2,1.3,0.9,10.5,0.3,3.5,92,82.9
Lewis County,WV,21.1,21,5.3,0.3,0.6,0.7,1.2,0,1.3,97.1,96.1
Lewis and Clark County,MT,19.4,21.3,5.8,2.3,0.7,0.5,3.4,0.1,2.7,93.8,91
Lexington County,SC,16.2,23,5.7,0.5,2.2,15.7,6.3,0.1,2,79.5,74.2
Lexington city,VA,15.6,9,2.3,0,3.5,8.8,6.1,0,2.8,83.7,79.1
Liberty County,FL,15,17.4,4.4,1.2,0.5,19.7,7,0,1.7,76.8,71
Liberty County,GA,9.6,28.3,10.4,0.8,2.1,45,12.7,0.6,4.7,46.9,37.7
Liberty County,MT,22.1,20.2,5,0.9,0.2,0.5,0.8,0,2,96.4,95.6
Liberty County,TX,12.9,27,7.3,1.2,0.7,9.7,28.6,0.1,1.7,86.5,60.1
Licking County,OH,16.8,23,6,0.3,2.3,4.2,2.1,0.1,2.4,90.8,89.1
Limestone County,AL,15.2,22.3,5.5,0.8,1.7,13.9,6.2,0.2,2.4,81,75.8
Limestone County,TX,19.9,22,6.1,1.2,0.8,17.5,22.6,0.1,1.8,78.6,58.1
Lincoln County,AR,15.9,16.3,4,0.6,0.4,30,4.2,0,1.5,67.6,64.1
Lincoln County,CO,17.6,20.4,5.6,1.4,1,5.5,14.8,0.1,1.9,90.1,77
Lincoln County,GA,24.5,18.6,5.2,0.6,0.5,28.9,2.1,0.1,1.7,68.3,66.7
Lincoln County,ID,14.1,27.4,6.4,1.9,0.7,0.5,31.4,0.2,2.4,94.3,64.9
Lincoln County,KS,25.4,21.7,4.8,0.9,0.4,0.7,3.7,-1,1.3,96.7,93.4
Lincoln County,KY,18.8,23.7,6.6,0.3,0.3,2.2,1.7,0,1.5,95.7,94.3
Lincoln County,ME,28.2,16.8,4.5,0.4,0.8,0.6,1.3,0,1.4,96.8,95.7
Lincoln County,MN,25.1,23.4,6.2,0.5,0.5,0.3,2.3,0.1,1.2,97.4,95.5
Lincoln County,MO,13.7,25.4,7.1,0.4,0.5,2,2.6,0.1,1.9,95.1,92.9
Lincoln County,MS,17.5,23.3,6,0.2,0.4,30.3,1.3,0,1.1,67.9,66.9
Lincoln County,MT,29.5,17.9,4.2,1.3,0.4,0.4,3.3,0.1,2.8,94.8,92.3
Lincoln County,NC,17.9,21.1,5.2,0.5,0.8,5.8,7.5,0.1,1.6,91.3,84.6
Lincoln County,NE,20.1,23.4,6,1.1,0.9,1.3,9.1,0.1,1.6,95.1,87.2
Lincoln County,NM,29.2,18.2,4.7,4.4,0.6,1.1,34.4,0.1,1.8,91.9,60.3
Lincoln County,NV,25.3,19.7,5.2,1.9,0.7,3.3,7.8,0.4,2.5,91.3,84.5
Lincoln County,OK,18.6,23.5,5.7,7.3,0.4,2,3.6,0.1,5.7,84.5,81.9
Lincoln County,OR,29.3,16.5,4.1,4,1.4,0.9,9.5,0.2,3.9,89.6,82
Lincoln County,SD,13.4,27.7,7.2,0.7,1.5,1.8,2.4,0.1,1.8,94.2,92.2
Lincoln County,TN,19.7,22.3,5.7,0.8,0.5,7,3.8,0.2,2.1,89.3,86.3
Lincoln County,WA,25.9,21.7,5.4,2,0.5,0.6,3.6,0.1,2.8,93.8,90.8
Lincoln County,WI,22.2,18.2,4.7,0.6,0.6,0.9,1.7,0,1.3,96.6,95.2
Lincoln County,WV,20,22.2,5.5,0.1,0.2,0.4,0.7,0,1.1,98.2,97.5
Lincoln County,WY,18,26.4,6.5,1.1,0.6,0.6,4.6,0.1,1.6,96.2,92.3
Lincoln Parish,LA,14,19.9,5.6,0.5,1.6,40.7,3.1,0.1,1.3,55.9,53.6
Linn County,IA,16.3,23,6.2,0.3,2.6,6.1,3.4,0.2,2.7,88.1,85.2
Linn County,KS,23.1,21.8,4.9,0.8,0.4,0.9,2.9,0.1,2.3,95.6,93
Linn County,MO,21.4,23.3,5.7,0.4,0.3,0.9,2.8,0.1,1.7,96.6,94.2
Linn County,OR,19.1,22.3,6,1.7,1.3,0.8,9.5,0.2,3.6,92.5,84.3
Lipscomb County,TX,19.1,25.3,5.8,2.2,0.8,2.1,34.5,0.2,2.9,91.9,60.7
Litchfield County,CT,22,18,4.1,0.3,2.2,2.4,7.1,0.1,1.7,93.3,87.4
Little River County,AR,20.9,22.4,5.8,1.7,0.5,19.9,3.7,0.1,2.5,75.5,72.6
Live Oak County,TX,20.8,19.8,5.5,1.2,0.8,4.8,40.8,0.1,1.1,92,52.9
Livingston County,IL,19.4,21.6,5.8,0.3,0.9,4.3,4.8,0,1.6,92.9,88.8
Livingston County,KY,22.5,20.2,5.4,0.5,0.4,0.6,2.5,0.1,1.7,96.6,94.6
Livingston County,MI,17.9,20.8,5,0.5,1,0.7,2.6,0.1,1.4,96.4,94.1
Livingston County,MO,19.5,21,5.8,0.5,0.8,3.7,2,0,1.6,93.4,91.8
Livingston County,NY,18.3,17.6,4.2,0.5,1.4,3,3.9,0.1,1.7,93.5,90.5
Livingston Parish,LA,13.3,25.5,6.7,0.5,0.7,7.1,4.1,0.1,1.3,90.3,86.8
Llano County,TX,37.3,15.1,4.1,0.9,0.6,1.2,10.8,0,1.4,95.9,86
Logan County,AR,20.5,21.3,5.8,1.2,2.3,1.5,3,0,1.9,93.2,90.6
Logan County,CO,18.1,17.9,5.1,1.8,1,4.5,17.2,0.1,1.5,91.1,75.6
Logan County,IL,18.6,19.2,5.3,0.4,0.8,8.5,3.5,0,1.6,88.7,85.9
Logan County,KS,21.2,24.1,7.5,0.6,0.9,0.8,6.9,-1,1.8,95.9,89.7
Logan County,KY,18.6,23.3,6.5,0.5,0.3,6.3,3,0,2.1,90.7,88.4
Logan County,ND,26.6,22.5,6.2,0.8,0.4,0.4,2.6,-1,1.7,96.6,94.6
Logan County,NE,22.6,23.4,5.6,0.9,0.4,0.1,3.7,-1,1.3,97.2,93.4
Logan County,OH,18.7,23.1,6.1,0.3,0.7,1.8,2.1,0,2.3,94.7,93
Logan County,OK,16.4,22.6,5.7,3.7,0.7,8.1,6.7,0.1,4.6,82.8,77.4
Logan County,WV,21.1,20.5,5.4,0.1,0.3,1.8,1,0,1,96.8,95.9
Long County,GA,10.2,27.2,7.4,0.9,1.3,27.5,11,0.4,4.2,65.6,57.2
Lonoke County,AR,13.8,25.4,6.5,0.7,0.9,6.3,4.6,0.1,2.1,89.8,85.8
Lorain County,OH,18.8,21.8,5.5,0.4,1.4,9,10.4,0.1,3.1,86.2,77.7
Los Alamos County,NM,18.1,22,5.2,1.4,6.6,1.4,18.5,0.1,2.6,87.9,71.2
Los Angeles County,CA,14.1,21.4,5.8,1.4,15.4,9,48.6,0.4,3.1,70.7,26.1
Loudon County,TN,26.9,19.1,4.9,0.6,0.9,1.6,9.2,0.2,1.3,95.4,87.1
Loudoun County,VA,9.7,27.9,6.8,0.5,20.3,8.1,13.9,0.1,3.9,67,54.8
Louisa County,IA,19.4,21.9,6,0.5,3.5,1.1,16.1,0.1,1.4,93.4,78.4
Louisa County,VA,20.3,20.1,5.4,0.6,0.6,15.6,3.3,0.1,2.3,80.8,78.1
Loup County,NE,26.2,20.9,5.7,0.3,0.2,0.8,3.9,-1,-1,98.8,95
Love County,OK,19.6,24,6.3,7.6,0.7,2.8,16.2,0,5.2,83.7,70
Loving County,TX,13.6,29,6.5,0.6,1.2,3.6,13.6,-1,-1,94.7,81.1
Lowndes County,AL,19.8,22,6,0.3,0.5,72.4,1.9,0,0.7,26,25.1
Lowndes County,GA,12.6,24.1,6.8,0.5,2.2,37.4,6,0.2,2.3,57.6,53
Lowndes County,MS,16.3,23.7,6.6,0.3,1,44.8,2.1,0.1,1.1,52.8,51.2
Lubbock County,TX,12.7,23.7,6.5,1.2,2.4,7.9,36.3,0.1,1.9,86.5,52.7
Lucas County,IA,22.4,22.8,6.6,0.4,0.4,0.6,2.4,0,1,97.6,95.7
Lucas County,OH,16.7,23,6.4,0.4,1.7,20.3,7.4,0.1,3.3,74.2,68.2
Luce County,MI,21.1,16.1,4.5,5.6,0.2,12,1.7,0.1,3.7,78.4,77.2
Lumpkin County,GA,17.8,17.2,4.4,0.8,0.8,1.7,5.1,0.1,1.9,94.7,90.2
Luna County,NM,21.2,26,7.5,2.5,1.1,1.9,67.9,0.2,1.8,92.6,28.5
Lunenburg County,VA,22.7,18.9,5.3,0.5,0.3,33.9,5.4,0.2,2.2,62.9,58.9
Luzerne County,PA,20.2,19.7,5.3,0.7,1.4,6.6,13.8,0.1,2,89.3,79.3
Lycoming County,PA,19.8,20.4,5.3,0.3,0.7,4.8,2.2,0,2.2,92,90.3
Lyman County,SD,16.2,29.4,8.7,40.4,0.4,0.6,2.6,0.1,3.3,55.3,54.7
Lynchburg city,VA,14.1,19.2,6.1,0.3,2.4,28.6,4.2,0,2.5,65,62.3
Lynn County,TX,16.4,27.3,6.9,1.9,0.4,2.6,46.8,0,1.9,93.3,49.9
Lyon County,IA,18.4,28.1,7.5,0.5,0.4,0.4,2.8,0.2,1.2,97.3,95.1
Lyon County,KS,15.6,22.2,5.9,1.4,2.7,2.5,21.8,0.1,3,90.2,70.5
Lyon County,KY,26,14.4,3.1,0.4,0.5,5.8,2.2,0,1.4,91.8,89.8
Lyon County,MN,16.5,25.7,7.2,0.8,4.7,3.4,7.2,0.1,1.5,89.6,83.3
Lyon County,NV,21.2,21.4,5.7,3.4,1.6,1.4,18.1,0.3,3.9,89.4,73.8
Mackinac County,MI,28.6,15.7,4.1,16.5,0.9,3.5,2,0,5.1,74,72.6
Macomb County,MI,17.4,20.8,5.4,0.3,4.3,12.6,2.8,0,2.5,80.3,78
Macon County,AL,20.9,17.1,4.8,0.3,0.6,80.4,1.9,0,1.4,17.3,16.5
Macon County,GA,18.1,18.5,5,0.6,1.4,60.7,4.5,0.1,1.2,35.9,32.8
Macon County,IL,20.4,22.2,6.2,0.3,1.2,17.8,2.4,0.1,3.1,77.7,75.8
Macon County,MO,22.8,23,5.8,0.4,0.6,2.5,1.8,0.1,1.9,94.6,93.1
Macon County,NC,28.9,18.4,4.8,0.9,1,1.7,7.4,0.1,1.2,95.1,88.6
Macon County,TN,16.1,24.5,7,0.7,0.8,1.2,5.1,0.1,1.4,95.8,91.7
Macoupin County,IL,20.4,21.1,5.2,0.4,0.4,1,1.3,0,1.1,97.1,96
Madera County,CA,14.3,27.4,7.3,4.4,2.6,4.2,58.8,0.3,2.6,85.9,33.2
Madison County,AL,15.3,21.6,5.9,0.8,2.7,24.9,5.2,0.1,2.7,68.9,64.5
Madison County,AR,19.4,23.2,6.3,1.7,0.8,0.9,5.9,0.6,1.9,94.1,89.3
Madison County,FL,21.1,18.4,4.8,0.7,0.5,37.8,5.7,0,1.5,59.4,54.6
Madison County,GA,17.4,22.9,5.9,0.4,2.2,9.6,6.1,0,1.8,86,80.7
Madison County,IA,17.6,24.4,5.6,0.4,0.9,0.6,2.2,0,1.2,96.8,94.9
Madison County,ID,7.1,26.8,9.7,0.5,1.5,0.8,7.8,0.3,1.9,95.1,88.2
Madison County,IL,17.6,21.7,5.7,0.3,1,8.8,3.4,0.1,2.1,87.6,84.6
Madison County,IN,18.7,21.4,5.5,0.4,0.6,8.6,4.4,0.1,2,88.3,84.6
Madison County,KY,14.2,20.6,5.6,0.3,1.1,4.6,2.7,0.1,2.2,91.7,89.5
Madison County,MO,19.6,23,5.8,0.5,1.1,0.6,2.3,0,1.4,96.4,94.6
Madison County,MS,13.9,24.7,6.2,0.3,2.8,38.3,3.1,0.1,1.1,57.5,55.1
Madison County,MT,29.5,15.3,3.5,0.7,0.6,0.4,4.4,0,1.9,96.4,92.5
Madison County,NC,23.1,17.5,4.7,0.5,0.5,1.5,2.4,0,1.4,96.1,93.9
Madison County,NE,16.2,25.5,7.3,2,1.8,1.7,15.8,0.1,1.7,92.6,78.7
Madison County,NY,18.9,19,4.8,0.7,1,2,2.3,0,1.6,94.6,92.9
Madison County,OH,15.9,20.3,5,0.4,1.4,6.5,2.3,0,1.7,90,88.1
Madison County,TN,17.6,22.3,6.2,0.4,1.2,37.7,4.1,0,1.7,58.9,55.6
Madison County,TX,15.8,21.2,5.6,1.2,0.8,20.1,24.2,0.1,1.8,76.1,54.1
Madison County,VA,22.9,20.1,5.1,0.3,0.6,9.3,3.2,0,2.9,86.9,84.3
Madison Parish,LA,14.9,23.8,6.9,0.3,0.3,62.6,2.2,-1,1.2,35.5,33.9
Magoffin County,KY,17.8,22.3,5.7,0.3,0.2,0.2,1.2,-1,0.8,98.4,97.4
Mahaska County,IA,18.5,24,6.7,0.5,1.7,1.8,2.4,0,1.2,94.7,92.7
Mahnomen County,MN,17.3,31.8,8.6,43.7,0.1,0.7,4.3,0,9.4,46.2,44.9
Mahoning County,OH,21.4,19.9,5.3,0.3,0.9,16.1,6.5,0.1,2.4,80.3,75.5
Major County,OK,20.5,25.8,6.7,3.1,0.8,1,10.1,0.1,2.9,92.1,84
Malheur County,OR,16.8,25.9,6.9,2,1.5,1.7,34.6,0.2,2.6,91.9,60.1
Manassas Park city,VA,8.5,25.6,6.5,0.1,11.1,15.3,39.7,0,3.9,62.3,33.1
Manassas city,VA,9.7,26.9,8.4,0.8,5.2,13.6,36.6,0.2,5.2,66.1,40.8
Manatee County,FL,28.1,18,4.6,0.5,2.3,9.3,16.9,0.1,1.9,86,70.6
Manistee County,MI,26.3,17.2,4.3,2.3,0.4,3.4,3.5,0.1,2.3,91.6,88.6
Manitowoc County,WI,21.1,20.4,5,0.8,2.9,1.2,4.4,0.1,1.5,93.6,89.8
Marathon County,WI,18.2,22.6,5.8,0.6,6.1,0.9,3,0.1,1.6,90.8,88.2
Marengo County,AL,19.9,22.5,6.2,0.3,0.3,51.6,2.8,0.2,1,46.6,44.4
Maricopa County,AZ,15.5,23.5,6.2,2.8,4.6,6.4,31.4,0.3,3.1,82.8,54.5
Maries County,MO,22,20.2,4.6,0.8,0.4,0.7,1.5,0,1.7,96.3,95
Marin County,CA,23,19.8,4.5,1,6.6,2.8,16.3,0.3,4,85.3,71.1
Marinette County,WI,24.5,18.9,4.7,0.8,0.5,0.7,2,0,1.4,96.6,95
Marion County,AL,21.5,20.8,5.3,0.4,0.3,3.9,2.7,0.1,1.3,94,91.7
Marion County,AR,29.1,18.2,4.7,1.1,0.6,0.6,2.4,0.1,2.1,95.5,93.6
Marion County,FL,29.2,18.5,4.9,0.5,1.7,13.5,14.1,0.1,2,82.1,69.6
Marion County,GA,20.9,20.6,4.9,1.1,0.9,30.9,7.7,0.7,1.9,64.4,59.1
Marion County,IA,18.4,23.5,5.7,0.2,1.4,0.9,2,0,1.3,96.1,94.4
Marion County,IL,19.8,23.2,6.4,0.4,0.6,4.3,2.1,0,2,92.7,90.9
Marion County,IN,12.9,24.6,7.2,0.4,3.8,29.1,10.9,0.1,3,63.5,54.1
Marion County,KS,23.8,21.1,4.8,0.8,0.5,1.1,4.1,0.1,2.1,95.4,92
Marion County,KY,16.9,24.1,6.4,0.2,0.8,7,2.7,0,1.9,90.1,87.7
Marion County,MO,18.3,23.1,6.4,0.3,0.7,5,1.9,0.1,2.5,91.5,90
Marion County,MS,19.3,22.8,5.7,0.3,0.4,31.6,1.8,0.1,1.2,66.5,65.1
Marion County,OH,18.2,21,5.8,0.3,0.6,6.5,2.8,0.1,2.1,90.4,88.1
Marion County,OR,16.2,24.3,6.5,2.6,2.5,1.6,27.2,1,3.7,88.6,64.7
Marion County,SC,20.7,22.5,5.8,0.7,0.7,56.8,2.9,0,1.4,40.3,38.4
Marion County,TN,20.3,21,5.7,0.5,0.7,4.1,2,0,1.6,93.1,91.4
Marion County,TX,27.4,18.1,4.5,1.3,0.9,20.9,4.5,0,2.4,74.5,71
Marion County,WV,19.8,20,5.5,0.3,0.6,3.3,1.4,0,1.8,94,92.9
Mariposa County,CA,28.9,16.1,4.2,3.5,1.6,1.3,12.1,0.2,4,89.3,79.3
Marlboro County,SC,18.6,19.8,5.3,5,0.4,51.1,3.4,0,2.2,41.1,38.8
Marquette County,MI,19.6,17.8,4.6,2,0.9,1.7,1.6,0,2.2,93.2,91.9
Marquette County,WI,25.1,19.2,4.8,0.9,0.7,0.7,3.7,0,1.4,96.3,93.1
Marshall County,AL,17.3,25.1,7.2,1.1,0.7,3.2,14.7,0.3,1.9,92.8,79.8
Marshall County,IA,18.5,25.3,6.5,0.8,3.8,2.3,23,0.2,1.8,91.1,69.6
Marshall County,IL,23.6,20.3,5.4,0.4,0.5,0.7,3,0,1.4,96.9,94.5
Marshall County,IN,18.3,25,6.5,0.4,0.7,0.8,10.7,0.1,1.6,96.5,86.6
Marshall County,KS,22.1,24.1,6.7,0.7,0.5,0.6,2.7,0.1,1.7,96.5,94.3
Marshall County,KY,22.1,20.5,5.3,0.3,0.4,0.5,1.9,0,1.1,97.7,96
Marshall County,MN,22.3,22.9,6.2,0.9,0.4,0.5,4.7,0.1,1.2,97,93
Marshall County,MS,18.2,20.7,5.5,0.4,0.3,47.1,4,0.1,1.1,51.1,47.9
Marshall County,OK,21.9,23.1,5.9,11.1,0.4,2.1,18.2,0.1,6.2,80.2,64.6
Marshall County,SD,21.2,24,8.2,9.5,0.2,0.7,8,-1,1.8,87.8,83.1
Marshall County,TN,16.4,23.1,6.2,0.5,0.7,6.5,5.7,0.1,1.9,90.3,85.3
Marshall County,WV,23,19.1,4.7,0.3,0.4,0.8,1,0,1.1,97.4,96.6
Martin County,FL,31.5,16.2,4.1,1,1.5,5.7,14.2,0.2,1.6,90.1,77.7
Martin County,IN,20.6,22.2,5.8,0.4,0.5,0.4,1.2,0,1.1,97.7,96.8
Martin County,KY,17.1,19.4,4.6,0.4,0.2,7,3.5,0,0.9,91.4,88.1
